Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A05,Absolute Quantification,,M 8 - Fe,Ch1Unknown,,Manual,0.1,ddPCR Supermix for Probes (no dUTP),2,,,0.47,0.03,1,11842,,,,,,11843,,,,,,,,,,,,,,,,,,1,1,6979,8159.9,1206.2,1206.8,,,,,0.25,0,,,,,,,,,,,,
B05,Absolute Quantification,,M8 - Ga,Ch1Unknown,,Manual,0.71,ddPCR Supermix for Probes (no dUTP),14.2,,,1.33,0.49,8,13240,,,,,,13248,,,,,,,,,,,,,,,,,,1,1,6979,8259.3,1195,1199.3,,,,,0.99,0,,,,,,,,,,,,
C05,Absolute Quantification,,M8 - Br,Ch1Unknown,,Manual,0.73,ddPCR Supermix for Probes (no dUTP),14.6,,,1.37,0.5,8,12856,,,,,,12864,,,,,,,,,,,,,,,,,,1,1,6979,8255.6,1202.8,1207.2,,,,,1,0,,,,,,,,,,,,
D05,Absolute Quantification,,M8 - Ta,Ch1Unknown,,Manual,7.3,ddPCR Supermix for Probes (no dUTP),146,,,9,6.6,87,13915,,,,,,14002,,,,,,,,,,,,,,,,,,1,1,6979,8182.9,1177.8,1221.3,,,,,8.1,0,,,,,,,,,,,,
E05,Absolute Quantification,,M9 - Fe,Ch1Unknown,,Manual,0.75,ddPCR Supermix for Probes (no dUTP),15,,,1.37,0.53,9,14041,,,,,,14050,,,,,,,,,,,,,,,,,,1,1,6979,8215.2,1194.4,1198.9,,,,,1,0,,,,,,,,,,,,
F05,Absolute Quantification,,M9 - Ga,Ch1Unknown,,Manual,0.74,ddPCR Supermix for Probes (no dUTP),14.8,,,1.38,0.5,8,12773,,,,,,12781,,,,,,,,,,,,,,,,,,1,1,6979,7823.1,1196.6,1200.8,,,,,1,0,,,,,,,,,,,,
G05,Absolute Quantification,,M9 - Br,Ch1Unknown,,Manual,10.6,ddPCR Supermix for Probes (no dUTP),212,,,12.4,9.7,136,15039,,,,,,15175,,,,,,,,,,,,,,,,,,1,1,6979,7995.6,1191.1,1252.1,,,,,11,0,,,,,,,,,,,,
H05,Absolute Quantification,,M9 - Ta,Ch1Unknown,,Manual,2,ddPCR Supermix for Probes (no dUTP),40,,,2.8,1.6,27,16076,,,,,,16103,,,,,,,,,,,,,,,,,,1,1,6979,8019.1,1198.8,1210.2,,,,,2.4,0,,,,,,,,,,,,
H04,Absolute Quantification,,197 - N - clean,Ch1Negative Control,,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18811,,,,,,18811,,,,,,,,,,,,,,,,,,1,1,6979,0,905.39,905.39,,,,,0.086,0,,,,,,,,,,,,
G04,Absolute Quantification,,197 - N - clean,Ch1Positive Control,,Manual,0.12,ddPCR Supermix for Probes (no dUTP),2.4,,,0.55,0.03,1,10155,,,,,,10156,,,,,,,,,,,,,,,,,,1,1,6979,8550.9,1144.1,1144.8,,,,,0.29,0,,,,,,,,,,,,
F04,Absolute Quantification,,197 - P - clean,Ch1Positive Control,,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19746,,,,,,19746,,,,,,,,,,,,,,,,,,1,1,6979,0,1944.5,1944.5,,,,,0.082,0,,,,,,,,,,,,
E04,Absolute Quantification,,197 P - clean,Ch1Positive Control,,Manual,462,ddPCR Supermix for Probes (no dUTP),9240,,,474,455,5166,10749,,,,,,15915,,,,,,,,,,,,,,,,,,1,1,6979,7984.4,1212,3410.4,,,,,470,0,,,,,,,,,,,,
