Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,,M8 - Fe,Ch1Unknown,FAM,Manual,0.26,ddPCR Supermix for Probes (no dUTP),5.2,,,0.82,0.04,2,9137,,,,,,9139,,,,,,,,,,,,,,,,,,1,1,7141,9213,1217.5,1219.2,,,,,0.5,0.11,,,,,,,,,,,,
B01,Absolute Quantification,,M8 - Ga,Ch1Unknown,FAM,Manual,0.6,ddPCR Supermix for Probes (no dUTP),12,,,1.3,0.2,4,8415,,,,,,8419,,,,,,,,,,,,,,,,,,1,1,7141,8953.1,1244.4,1248.1,,,,,0.89,0.32,,,,,,,,,,,,
C01,Absolute Quantification,,M8 - Br,Ch1Unknown,FAM,Manual,1.3,ddPCR Supermix for Probes (no dUTP),26,,,2.3,1,11,9679,,,,,,9690,,,,,,,,,,,,,,,,,,1,1,7141,9136.4,1247.5,1256.5,,,,,1.8,0,,,,,,,,,,,,
D01,Absolute Quantification,,M8 - Ta,Ch1Unknown,FAM,Manual,8.4,ddPCR Supermix for Probes (no dUTP),168,,,10.5,7.4,69,9663,,,,,,9732,,,,,,,,,,,,,,,,,,1,1,7141,8859,1217.5,1271.7,,,,,9.4,0,,,,,,,,,,,,
E01,Absolute Quantification,,M9 - Fe,Ch1Unknown,FAM,Manual,1.4,ddPCR Supermix for Probes (no dUTP),28,,,2.4,0.7,12,10041,,,,,,10053,,,,,,,,,,,,,,,,,,1,1,7141,9064.4,1234.9,1244.2,,,,,1.85,1.04,,,,,,,,,,,,
F01,Absolute Quantification,,M9 - Ga,Ch1Unknown,FAM,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.33,0,0,10837,,,,,,10837,,,,,,,,,,,,,,,,,,1,1,7141,0,1238.4,1238.4,,,,,0.15,0,,,,,,,,,,,,
G01,Absolute Quantification,,M9 - Br,Ch1Unknown,FAM,Manual,10.9,ddPCR Supermix for Probes (no dUTP),218,,,13.3,8.8,91,9777,,,,,,9868,,,,,,,,,,,,,,,,,,1,1,7141,8855.8,1226.1,1296.4,,,,,12.1,9.8,,,,,,,,,,,,
H01,Absolute Quantification,,M9 - Ta,Ch1Unknown,FAM,Manual,2.2,ddPCR Supermix for Probes (no dUTP),44,,,3.3,1.3,19,10213,,,,,,10232,,,,,,,,,,,,,,,,,,1,1,7141,9157.3,1260.6,1275.2,,,,,2.7,1.7,,,,,,,,,,,,
A02,Absolute Quantification,,M10 - Fe,Ch1Unknown,FAM,Manual,0.07,ddPCR Supermix for Probes (no dUTP),1.4,,,0.33,0.02,1,17109,,,,,,17110,,,,,,,,,,,,,,,,,,1,1,7141,8897.8,1204.5,1204.9,,,,,0.17,0,,,,,,,,,,,,
A03,Absolute Quantification,,M12 - Fe,Ch1Unknown,FAM,Manual,0.45,ddPCR Supermix for Probes (no dUTP),9,,,0.97,0.27,5,13178,,,,,,13183,,,,,,,,,,,,,,,,,,1,1,7141,8831.4,1209.8,1212.7,,,,,0.68,0,,,,,,,,,,,,
A04,Absolute Quantification,,M13 - Fe A,Ch1Unknown,FAM,Manual,0.19,ddPCR Supermix for Probes (no dUTP),3.8,,,0.62,0.08,2,12105,,,,,,12107,,,,,,,,,,,,,,,,,,1,1,7141,8881.9,1208.4,1209.7,,,,,0.37,0,,,,,,,,,,,,
