Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A08",Absolute Quantification,"","M15 - Fe",Ch1Unknown,"FAM","Manual",2.1,ddPCR Supermix for Probes (no dUTP),42,,,3.1,1.7,22,12416,,,,,,12438,,,,,,,,,,,,,,,,,,1,1,4199,6434.7,314.18,325.01,"",,,,2.6,0,,,,,,,,,,,,,
"B08",Absolute Quantification,"","M15 - Ga",Ch1Unknown,"FAM","Manual",9.5,ddPCR Supermix for Probes (no dUTP),190,,,11.3,8.5,105,13000,,,,,,13105,,,,,,,,,,,,,,,,,,1,1,4199,6305.9,312.73,360.75,"",,,,10,0,,,,,,,,,,,,,
"C08",Absolute Quantification,"","M15 - Br",Ch1Unknown,"FAM","Manual",5,ddPCR Supermix for Probes (no dUTP),100,,,6.5,4.4,56,13065,,,,,,13121,,,,,,,,,,,,,,,,,,1,1,4199,6027.7,319.46,343.82,"",,,,5.7,0,,,,,,,,,,,,,
"D08",Absolute Quantification,"","M15 - Ta",Ch1Unknown,"FAM","Manual",5.1,ddPCR Supermix for Probes (no dUTP),102,,,6.5,4.4,55,12784,,,,,,12839,,,,,,,,,,,,,,,,,,1,1,4199,6261.2,313.75,339.23,"",,,,5.8,0,,,,,,,,,,,,,
"E08",Absolute Quantification,"","M16 - Fe",Ch1Unknown,"FAM","Manual",1.3,ddPCR Supermix for Probes (no dUTP),26,,,2,1,15,13848,,,,,,13863,,,,,,,,,,,,,,,,,,1,1,4199,5974.2,321.32,327.43,"",,,,1.6,0,,,,,,,,,,,,,
"F08",Absolute Quantification,"","M16 - Ga",Ch1Unknown,"FAM","Manual",5,ddPCR Supermix for Probes (no dUTP),100,,,6.3,4.4,61,14399,,,,,,14460,,,,,,,,,,,,,,,,,,1,1,4199,5829,339.75,362.91,"",,,,5.6,0,,,,,,,,,,,,,
"G08",Absolute Quantification,"","M16 - Br",Ch1Unknown,"FAM","Manual",6.5,ddPCR Supermix for Probes (no dUTP),130,,,8.1,5.7,72,13060,,,,,,13132,,,,,,,,,,,,,,,,,,1,1,4199,6161.5,321.58,353.6,"",,,,7.3,0,,,,,,,,,,,,,
"H08",Absolute Quantification,"","M16 - Ta",Ch1Unknown,"FAM","Manual",15.9,ddPCR Supermix for Probes (no dUTP),318,,,18.2,14.7,183,13436,,,,,,13619,,,,,,,,,,,,,,,,,,1,1,4199,6142.6,308.11,386.51,"",,,,17,0,,,,,,,,,,,,,
"A09",Absolute Quantification,"","M17 - Fe",Ch1Unknown,"FAM","Manual",3.7,ddPCR Supermix for Probes (no dUTP),74,,,4.9,3.2,46,14624,,,,,,14670,,,,,,,,,,,,,,,,,,1,1,4199,6262.3,307.51,326.19,"",,,,4.3,0,,,,,,,,,,,,,
"A10",Absolute Quantification,"","M19 - Fe",Ch1Unknown,"FAM","Manual",2.9,ddPCR Supermix for Probes (no dUTP),58,,,4,2.5,38,15145,,,,,,15183,,,,,,,,,,,,,,,,,,1,1,4199,6105.5,300.72,315.25,"",,,,3.5,0,,,,,,,,,,,,,
"A11",Absolute Quantification,"","M20 - Fe",Ch1Unknown,"FAM","Manual",1.2,ddPCR Supermix for Probes (no dUTP),24,,,1.9,0.9,13,13253,,,,,,13266,,,,,,,,,,,,,,,,,,1,1,4199,5954.6,305.72,311.25,"",,,,1.5,0,,,,,,,,,,,,,
"A12",Absolute Quantification,"","M21 - Fe",Ch1Unknown,"FAM","Manual",2.1,ddPCR Supermix for Probes (no dUTP),42,,,3,1.7,26,14792,,,,,,14818,,,,,,,,,,,,,,,,,,1,1,4199,5523.5,299.71,308.88,"",,,,2.5,0,,,,,,,,,,,,,
"B09",Absolute Quantification,"","M17 - Ga",Ch1Unknown,"FAM","Manual",2.1,ddPCR Supermix for Probes (no dUTP),42,,,3,1.8,28,15391,,,,,,15419,,,,,,,,,,,,,,,,,,1,1,4199,6212.1,307.88,318.6,"",,,,2.6,0,,,,,,,,,,,,,
