Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A07",Absolute Quantification,"","Fe70 - A",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.75,0,0,4713,,,,,,4713,,,,,,,,,,,,,,,,,,1,1,3558,0,1155.3,1155.3,"",,,,0.34,0,,,,,,,,,,,,,
"B07",Absolute Quantification,"","Fe70 - B",Ch1Unknown,"FAM","Manual",0.16,ddPCR Supermix for Probes (no dUTP),3.2,,,0.52,0.07,2,14362,,,,,,14364,,,,,,,,,,,,,,,,,,1,1,3558,5392,1065.5,1066.1,"",,,,0.31,0,,,,,,,,,,,,,
"C07",Absolute Quantification,"","Fe70 - C",Ch1Unknown,"FAM","Manual",0.36,ddPCR Supermix for Probes (no dUTP),7.2,,,0.86,0.21,4,12955,,,,,,12959,,,,,,,,,,,,,,,,,,1,1,3558,5399.8,1113.7,1115,"",,,,0.58,0,,,,,,,,,,,,,
"D07",Absolute Quantification,"","Fe71 - A",Ch1Unknown,"FAM","Manual",0.09,ddPCR Supermix for Probes (no dUTP),1.8,,,0.42,0.02,1,13479,,,,,,13480,,,,,,,,,,,,,,,,,,1,1,3558,4738.6,1091.4,1091.6,"",,,,0.22,0,,,,,,,,,,,,,
"E07",Absolute Quantification,"","Fe71 - B",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.31,0,0,11287,,,,,,11287,,,,,,,,,,,,,,,,,,1,1,3558,0,1070.6,1070.6,"",,,,0.14,0,,,,,,,,,,,,,
"F07",Absolute Quantification,"","Fe71 - C",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,14251,,,,,,14251,,,,,,,,,,,,,,,,,,1,1,3558,0,1092.8,1092.8,"",,,,0.11,0,,,,,,,,,,,,,
"G07",Absolute Quantification,"","Fe72 - A",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.24,0,0,14982,,,,,,14982,,,,,,,,,,,,,,,,,,1,1,3558,0,1070.6,1070.6,"",,,,0.11,0,,,,,,,,,,,,,
"H07",Absolute Quantification,"","Fe72 - B",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.35,0,0,10139,,,,,,10139,,,,,,,,,,,,,,,,,,1,1,3558,0,1005.4,1005.4,"",,,,0.16,0,,,,,,,,,,,,,
"A08",Absolute Quantification,"","Fe72 - C",Ch1Unknown,"FAM","Manual",0.09,ddPCR Supermix for Probes (no dUTP),1.8,,,0.43,0.02,1,13208,,,,,,13209,,,,,,,,,,,,,,,,,,1,1,3558,6810.5,1114.5,1114.9,"",,,,0.22,0,,,,,,,,,,,,,
"A09",Absolute Quantification,"","Ga72 - B",Ch1Unknown,"FAM","Manual",0.87,ddPCR Supermix for Probes (no dUTP),17.4,,,1.53,0.62,10,13570,,,,,,13580,,,,,,,,,,,,,,,,,,1,1,3558,5842.1,1121.9,1125.4,"",,,,1.2,0,,,,,,,,,,,,,
"A10",Absolute Quantification,"","Br72 - A",Ch1Unknown,"FAM","Manual",159,ddPCR Supermix for Probes (no dUTP),3180,,,167,155,1695,11700,,,,,,13395,,,,,,,,,,,,,,,,,,1,1,3558,5077.9,1104.4,1607.2,"",,,,160,0,,,,,,,,,,,,,
"A11",Absolute Quantification,"","Ta71 - A",Ch1Unknown,"FAM","Manual",0.24,ddPCR Supermix for Probes (no dUTP),4.8,,,0.64,0.13,3,14510,,,,,,14513,,,,,,,,,,,,,,,,,,1,1,3558,4888.2,1076.7,1077.5,"",,,,0.42,0,,,,,,,,,,,,,
"A12",Absolute Quantification,"","M24 - Fe",Ch1Unknown,"FAM","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.4,0.02,1,14014,,,,,,14015,,,,,,,,,,,,,,,,,,1,1,3558,5230.1,1100,1100.3,"",,,,0.21,0,,,,,,,,,,,,,
"B08",Absolute Quantification,"","Ga70 - A",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.26,0,0,13352,,,,,,13352,,,,,,,,,,,,,,,,,,1,1,3558,0,1115.4,1115.4,"",,,,0.12,0,,,,,,,,,,,,,
"B09",Absolute Quantification,"","Ga72 - C",Ch1Unknown,"FAM","Manual",0.4,ddPCR Supermix for Probes (no dUTP),8,,,0.88,0.25,5,14601,,,,,,14606,,,,,,,,,,,,,,,,,,1,1,3558,5212.6,1098.2,1099.6,"",,,,0.61,0,,,,,,,,,,,,,
"B10",Absolute Quantification,"","Br72 -B",Ch1Unknown,"FAM","Manual",320,ddPCR Supermix for Probes (no dUTP),6400,,,331,315,3273,10466,,,,,,13739,,,,,,,,,,,,,,,,,,1,1,3558,5194.2,1118.7,2089.6,"",,,,330,0,,,,,,,,,,,,,
"B11",Absolute Quantification,"","Ta71 - B",Ch1Unknown,"FAM","Manual",0.33,ddPCR Supermix for Probes (no dUTP),6.6,,,0.79,0.19,4,14117,,,,,,14121,,,,,,,,,,,,,,,,,,1,1,3558,4915.8,1086.1,1087.2,"",,,,0.53,0,,,,,,,,,,,,,
"B12",Absolute Quantification,"","M24 - Br",Ch1Unknown,"FAM","Manual",111.4,ddPCR Supermix for Probes (no dUTP),2228,,,117.4,108.4,1374,13829,,,,,,15203,,,,,,,,,,,,,,,,,,1,1,3558,4937.3,1097.4,1444.4,"",,,,110,0,,,,,,,,,,,,,
"C08",Absolute Quantification,"","Ga - 70B",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.26,0,0,13655,,,,,,13655,,,,,,,,,,,,,,,,,,1,1,3558,0,1101.4,1101.4,"",,,,0.12,0,,,,,,,,,,,,,
"C09",Absolute Quantification,"","Br70 - A",Ch1Unknown,"FAM","Manual",6.4,ddPCR Supermix for Probes (no dUTP),128,,,7.9,5.6,75,13851,,,,,,13926,,,,,,,,,,,,,,,,,,1,1,3558,5234.2,1120,1142.1,"",,,,7.1,0,,,,,,,,,,,,,
"C10",Absolute Quantification,"","Br72 - C",Ch1Unknown,"FAM","Manual",204,ddPCR Supermix for Probes (no dUTP),4080,,,212,200,2281,12059,,,,,,14340,,,,,,,,,,,,,,,,,,1,1,3558,5063,1124.4,1750.9,"",,,,210,0,,,,,,,,,,,,,
"C11",Absolute Quantification,"","Ta71 - C",Ch1Unknown,"FAM","Manual",0.46,ddPCR Supermix for Probes (no dUTP),9.2,,,1,0.28,5,12773,,,,,,12778,,,,,,,,,,,,,,,,,,1,1,3558,4858,1100.5,1102,"",,,,0.7,0,,,,,,,,,,,,,
"C12",Absolute Quantification,"","M24 - Ta",Ch1Unknown,"FAM","Manual",0.51,ddPCR Supermix for Probes (no dUTP),10.2,,,1.04,0.33,6,13851,,,,,,13857,,,,,,,,,,,,,,,,,,1,1,3558,4992.8,1101.2,1102.9,"",,,,0.75,0,,,,,,,,,,,,,
"D08",Absolute Quantification,"","Ga70 - C",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,14276,,,,,,14276,,,,,,,,,,,,,,,,,,1,1,3558,0,1105.2,1105.2,"",,,,0.11,0,,,,,,,,,,,,,
"D09",Absolute Quantification,"","Br70 - B",Ch1Unknown,"FAM","Manual",1.5,ddPCR Supermix for Probes (no dUTP),30,,,2.3,1.2,20,15395,,,,,,15415,,,,,,,,,,,,,,,,,,1,1,3558,5208.2,1103.4,1108.7,"",,,,1.9,0,,,,,,,,,,,,,
"D10",Absolute Quantification,"","Ta70 - A",Ch1Unknown,"FAM","Manual",0.92,ddPCR Supermix for Probes (no dUTP),18.4,,,1.55,0.68,12,15291,,,,,,15303,,,,,,,,,,,,,,,,,,1,1,3558,4902.7,1102.9,1105.9,"",,,,1.2,0,,,,,,,,,,,,,
"D11",Absolute Quantification,"","Ta72 - A",Ch1Unknown,"FAM","Manual",0.72,ddPCR Supermix for Probes (no dUTP),14.4,,,1.3,0.5,9,14754,,,,,,14763,,,,,,,,,,,,,,,,,,1,1,3558,4896.9,1089.3,1091.6,"",,,,0.99,0,,,,,,,,,,,,,
"D12",Absolute Quantification,"","M24 - Ga",Ch1Unknown,"FAM","Manual",0.4,ddPCR Supermix for Probes (no dUTP),8,,,0.86,0.24,5,14832,,,,,,14837,,,,,,,,,,,,,,,,,,1,1,3558,5055,1079.7,1081.1,"",,,,0.6,0,,,,,,,,,,,,,
"E08",Absolute Quantification,"","Ga71 - A",Ch1Unknown,"FAM","Manual",0.33,ddPCR Supermix for Probes (no dUTP),6.6,,,0.79,0.19,4,14074,,,,,,14078,,,,,,,,,,,,,,,,,,1,1,3558,5657.4,1110.4,1111.7,"",,,,0.53,0,,,,,,,,,,,,,
"E09",Absolute Quantification,"","Br70 - C",Ch1Unknown,"FAM","Manual",5.9,ddPCR Supermix for Probes (no dUTP),118,,,7.3,5.3,79,15642,,,,,,15721,,,,,,,,,,,,,,,,,,1,1,3558,5130.1,1099.9,1120.2,"",,,,6.6,0,,,,,,,,,,,,,
"E10",Absolute Quantification,"","Ta70 - B",Ch1Unknown,"FAM","Manual",0.07,ddPCR Supermix for Probes (no dUTP),1.4,,,0.35,0.02,1,15887,,,,,,15888,,,,,,,,,,,,,,,,,,1,1,3558,5281.2,1102.7,1103,"",,,,0.18,0,,,,,,,,,,,,,
"E11",Absolute Quantification,"","Ta72 - B",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.26,0,0,13644,,,,,,13644,,,,,,,,,,,,,,,,,,1,1,3558,0,1100.2,1100.2,"",,,,0.12,0,,,,,,,,,,,,,
"E12",Absolute Quantification,"","P - clean",Ch1Positive Control,"FAM","Manual",328,ddPCR Supermix for Probes (no dUTP),6560,,,339,322,3310,10297,,,,,,13607,,,,,,,,,,,,,,,,,,1,1,3558,4820.7,1089,1996.8,"",,,,330,0,,,,,,,,,,,,,
"F08",Absolute Quantification,"","Ga 71 - B",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,13958,,,,,,13958,,,,,,,,,,,,,,,,,,1,1,3558,0,1121.8,1121.8,"",,,,0.12,0,,,,,,,,,,,,,
"F09",Absolute Quantification,"","Br71 - A",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.33,0,0,10561,,,,,,10561,,,,,,,,,,,,,,,,,,1,1,3558,0,862.54,862.54,"",,,,0.15,0,,,,,,,,,,,,,
"F10",Absolute Quantification,"","Ta70 - C",Ch1Unknown,"FAM","Manual",0.55,ddPCR Supermix for Probes (no dUTP),11,,,1.07,0.36,7,15045,,,,,,15052,,,,,,,,,,,,,,,,,,1,1,3558,4969.2,1111.9,1113.7,"",,,,0.78,0,,,,,,,,,,,,,
"F11",Absolute Quantification,"","Ta72 - C",Ch1Unknown,"FAM","Manual",0.27,ddPCR Supermix for Probes (no dUTP),5.4,,,0.72,0.14,3,12987,,,,,,12990,,,,,,,,,,,,,,,,,,1,1,3558,4959.5,1094.3,1095.2,"",,,,0.47,0,,,,,,,,,,,,,
"G08",Absolute Quantification,"","Ga 71 - C",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.28,0,0,12542,,,,,,12542,,,,,,,,,,,,,,,,,,1,1,3558,0,1108,1108,"",,,,0.13,0,,,,,,,,,,,,,
"G09",Absolute Quantification,"","Br71 - B",Ch1Unknown,"FAM","Manual",0.43,ddPCR Supermix for Probes (no dUTP),8.6,,,0.94,0.27,5,13532,,,,,,13537,,,,,,,,,,,,,,,,,,1,1,3558,4380.4,1096.1,1097.3,"",,,,0.66,0,,,,,,,,,,,,,
