Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,,M1:197,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,4,4349,,,,,,4353,,,,,,,,,,,,,,,,,,1,1,1419,1682,1248.4,1248.8,,,,,,,,,,,,,,,,,,
B01,Absolute Quantification,,M2:197,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,6595,,,,,,6595,,,,,,,,,,,,,,,,,,1,1,0,0,1240,1240,,,,,,,,,,,,,,,,,,
C01,Absolute Quantification,,M3:197,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,6644,,,,,,6644,,,,,,,,,,,,,,,,,,1,1,0,0,1250.8,1250.8,,,,,,,,,,,,,,,,,,
D01,Absolute Quantification,,M4:197,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,7947,,,,,,7947,,,,,,,,,,,,,,,,,,1,1,0,0,1248.5,1248.5,,,,,,,,,,,,,,,,,,
E01,Absolute Quantification,,M5:197,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,6485,,,,,,6485,,,,,,,,,,,,,,,,,,1,1,0,0,1265.9,1265.9,,,,,,,,,,,,,,,,,,
F01,Absolute Quantification,,M6:197,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,9887,,,,,,9887,,,,,,,,,,,,,,,,,,1,1,0,0,1237.7,1237.7,,,,,,,,,,,,,,,,,,
G01,Absolute Quantification,,P:197A,Ch1Positive Control,FAM,OK,246,ddPCR Supermix for Probes (no dUTP),4920,,,257,235,1944,8368,,,,,,10312,,,,,,,,,,,,,,,,,,1,1,2153,8570.3,1241.2,2622.8,,,,,251,240,,,,,,,,,,,,
H01,Absolute Quantification,,P:197B,Ch1Positive Control,FAM,OK,275,ddPCR Supermix for Probes (no dUTP),5500,,,287,264,2202,8363,,,,,,10565,,,,,,,,,,,,,,,,,,1,1,2714,8873.7,1272.4,2856.7,,,,,281,269,,,,,,,,,,,,
A02,Absolute Quantification,,M1:448,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,7,9249,,,,,,9256,,,,,,,,,,,,,,,,,,1,1,89,347.06,26.74,26.983,,,,,,,,,,,,,,,,,,
A03,Absolute Quantification,,M1:720,Ch1Unknown,FAM,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,8136,,,,,,8136,,,,,,,,,,,,,,,,,,1,1,0,0,1116.8,1116.8,,,,,,,,,,,,,,,,,,
