Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,,M22 - Fe,Ch1Unknown,,Manual,0.09,ddPCR Supermix for Probes (no dUTP),1.8,,,0.41,0.02,1,13573,,,,,,13574,,,,,,,,,,,,,,,,,,1,1,4360,6281.8,1297.6,1297.9,,,,,0.22,0,,,,,,,,,,,,
B01,Absolute Quantification,,M22 - Ga,Ch1Unknown,,Manual,0.9,ddPCR Supermix for Probes (no dUTP),18,,,1.6,0.6,8,11001,,,,,,11009,,,,,,,,,,,,,,,,,,1,1,4360,5977.1,1273.9,1277.4,,,,,1.2,0,,,,,,,,,,,,
C01,Absolute Quantification,,M22 - Br,Ch1Unknown,,Manual,0.42,ddPCR Supermix for Probes (no dUTP),8.4,,,1,0.24,4,11143,,,,,,11147,,,,,,,,,,,,,,,,,,1,1,4360,6107.1,1328.6,1330.3,,,,,0.67,0,,,,,,,,,,,,
D01,Absolute Quantification,,M22 - Ta,Ch1Unknown,,Manual,0.2,ddPCR Supermix for Probes (no dUTP),4,,,0.64,0.09,2,11791,,,,,,11793,,,,,,,,,,,,,,,,,,1,1,4360,5635,1281,1281.8,,,,,0.38,0,,,,,,,,,,,,
E01,Absolute Quantification,,M23 - Fe,Ch1Unknown,,Manual,0.09,ddPCR Supermix for Probes (no dUTP),1.8,,,0.43,0.02,1,12954,,,,,,12955,,,,,,,,,,,,,,,,,,1,1,4360,6173.5,1295,1295.4,,,,,0.23,0,,,,,,,,,,,,
F01,Absolute Quantification,,M23 - Ga,Ch1Unknown,,Manual,0.36,ddPCR Supermix for Probes (no dUTP),7.2,,,0.85,0.21,4,13108,,,,,,13112,,,,,,,,,,,,,,,,,,1,1,4360,5750.5,1314.2,1315.5,,,,,0.57,0,,,,,,,,,,,,
G01,Absolute Quantification,,M23 - Br,Ch1Unknown,,Manual,0.09,ddPCR Supermix for Probes (no dUTP),1.8,,,0.42,0.02,1,13333,,,,,,13334,,,,,,,,,,,,,,,,,,1,1,4360,6785.7,1310,1310.4,,,,,0.22,0,,,,,,,,,,,,
H01,Absolute Quantification,,M23 - Ta,Ch1Unknown,,Manual,0.18,ddPCR Supermix for Probes (no dUTP),3.6,,,0.57,0.08,2,13287,,,,,,13289,,,,,,,,,,,,,,,,,,1,1,4360,6282.5,1296.5,1297.3,,,,,0.34,0,,,,,,,,,,,,
A02,Absolute Quantification,,M26 - Fe,Ch1Unknown,,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,14071,,,,,,14071,,,,,,,,,,,,,,,,,,1,1,4360,0,1320.1,1320.1,,,,,0.11,0,,,,,,,,,,,,
A03,Absolute Quantification,,M28 - Fe,Ch1Unknown,,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.29,0,0,12332,,,,,,12332,,,,,,,,,,,,,,,,,,1,1,4360,0,1296.7,1296.7,,,,,0.13,0,,,,,,,,,,,,
B02,Absolute Quantification,,M26 - Ga,Ch1Unknown,,Manual,0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.4,0.02,1,14078,,,,,,14079,,,,,,,,,,,,,,,,,,1,1,4360,6675.7,1322.2,1322.5,,,,,0.21,0,,,,,,,,,,,,
B03,Absolute Quantification,,M28 - Ga,Ch1Unknown,,Manual,0.5,ddPCR Supermix for Probes (no dUTP),10,,,1.08,0.3,5,11861,,,,,,11866,,,,,,,,,,,,,,,,,,1,1,4360,6015.1,1326.5,1328.5,,,,,0.76,0,,,,,,,,,,,,
C02,Absolute Quantification,,M26 - Br,Ch1Unknown,,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,14343,,,,,,14343,,,,,,,,,,,,,,,,,,1,1,4360,0,1324.7,1324.7,,,,,0.11,0,,,,,,,,,,,,
C03,Absolute Quantification,,M28 - Br,Ch1Unknown,,Manual,0.1,ddPCR Supermix for Probes (no dUTP),2,,,0.47,0.03,1,11902,,,,,,11903,,,,,,,,,,,,,,,,,,1,1,4360,7037.5,1328.2,1328.6,,,,,0.25,0,,,,,,,,,,,,
D02,Absolute Quantification,,M26 - Ta,Ch1Unknown,,Manual,0.39,ddPCR Supermix for Probes (no dUTP),7.8,,,0.84,0.24,5,15220,,,,,,15225,,,,,,,,,,,,,,,,,,1,1,4360,6062.7,1308.4,1309.9,,,,,0.59,0,,,,,,,,,,,,
D03,Absolute Quantification,,M28 - Ta,Ch1Unknown,,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.27,0,0,12920,,,,,,12920,,,,,,,,,,,,,,,,,,1,1,4360,0,1335.4,1335.4,,,,,0.12,0,,,,,,,,,,,,
E02,Absolute Quantification,,M27 - Fe,Ch1Unknown,,Manual,0.16,ddPCR Supermix for Probes (no dUTP),3.2,,,0.51,0.07,2,14727,,,,,,14729,,,,,,,,,,,,,,,,,,1,1,4360,5634.2,1275.9,1276.5,,,,,0.31,0,,,,,,,,,,,,
E03,Absolute Quantification,,P - clean,Ch1Positive Control,,Manual,336,ddPCR Supermix for Probes (no dUTP),6720,,,348,330,3262,9863,,,,,,13125,,,,,,,,,,,,,,,,,,1,1,4360,5455.1,1327.8,2353.5,,,,,340,0,,,,,,,,,,,,
F02,Absolute Quantification,,M27 - Ga,Ch1Unknown,,Manual,0.56,ddPCR Supermix for Probes (no dUTP),11.2,,,1.09,0.37,7,14768,,,,,,14775,,,,,,,,,,,,,,,,,,1,1,4360,5984.3,1312.2,1314.4,,,,,0.8,0,,,,,,,,,,,,
F03,Absolute Quantification,,P - clean,Ch1Positive Control,,Manual,327,ddPCR Supermix for Probes (no dUTP),6540,,,339,321,3208,10008,,,,,,13216,,,,,,,,,,,,,,,,,,1,1,4360,5449.4,1327.1,2327.7,,,,,330,0,,,,,,,,,,,,
G02,Absolute Quantification,,M27 - Br,Ch1Unknown,,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.23,0,0,15520,,,,,,15520,,,,,,,,,,,,,,,,,,1,1,4360,0,1298.7,1298.7,,,,,0.1,0,,,,,,,,,,,,
G03,Absolute Quantification,,N - clean,Ch1Negative Control,,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.26,0,0,13578,,,,,,13578,,,,,,,,,,,,,,,,,,1,1,4360,0,1327.5,1327.5,,,,,0.12,0,,,,,,,,,,,,
H02,Absolute Quantification,,M27 - Ta,Ch1Unknown,,Manual,0.22,ddPCR Supermix for Probes (no dUTP),4.4,,,0.59,0.12,3,15820,,,,,,15823,,,,,,,,,,,,,,,,,,1,1,4360,6064.7,1296.4,1297.3,,,,,0.38,0,,,,,,,,,,,,
H03,Absolute Quantification,,N - clean,Ch1Negative Control,,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,14145,,,,,,14145,,,,,,,,,,,,,,,,,,1,1,4360,0,1321.4,1321.4,,,,,0.11,0,,,,,,,,,,,,
D04,Absolute Quantification,,N - clean,Ch1Positive Control,,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.21,0,0,16941,,,,,,16941,,,,,,,,,,,,,,,,,,1,1,4360,0,1319.1,1319.1,,,,,0.095,0,,,,,,,,,,,,
C04,Absolute Quantification,,P - clean,Ch1Positive Control,,Manual,308,ddPCR Supermix for Probes (no dUTP),6160,,,318,303,3810,12719,,,,,,16529,,,,,,,,,,,,,,,,,,1,1,4360,5398.8,1325.2,2264.2,,,,,310,0,,,,,,,,,,,,
B04,Absolute Quantification,,P - dirty (M23),Ch1Positive Control,,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.2,0,0,17678,,,,,,17678,,,,,,,,,,,,,,,,,,1,1,4360,0,962.58,962.58,,,,,0.091,0,,,,,,,,,,,,
