Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"","Fe73 - A",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.31,0,0,11266,,,,,,11266,,,,,,,,,,,,,,,,,,1,1,3572,0,1702.2,1702.2,"",,,,0.14,0,,,,,,,,,,,,,
"B01",Absolute Quantification,"","Fe73 - B",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.34,0,0,10223,,,,,,10223,,,,,,,,,,,,,,,,,,1,1,3572,0,1683.3,1683.3,"",,,,0.16,0,,,,,,,,,,,,,
"C01",Absolute Quantification,"","Fe73 - C",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.35,0,0,10185,,,,,,10185,,,,,,,,,,,,,,,,,,1,1,3572,0,1677.6,1677.6,"",,,,0.16,0,,,,,,,,,,,,,
"D01",Absolute Quantification,"","Fe74 - A",Ch1Unknown,"FAM","Manual",0.11,ddPCR Supermix for Probes (no dUTP),2.2,,,0.53,0.03,1,10609,,,,,,10610,,,,,,,,,,,,,,,,,,1,1,3572,7012.1,1669.7,1670.2,"",,,,0.28,0,,,,,,,,,,,,,
"E01",Absolute Quantification,"","Fe74 - B",Ch1Unknown,"FAM","Manual",0.19,ddPCR Supermix for Probes (no dUTP),3.8,,,0.62,0.08,2,12210,,,,,,12212,,,,,,,,,,,,,,,,,,1,1,3572,7188.9,1689.3,1690.2,"",,,,0.37,0,,,,,,,,,,,,,
"F01",Absolute Quantification,"","Fe74 - C",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.32,0,0,10910,,,,,,10910,,,,,,,,,,,,,,,,,,1,1,3572,0,1662.4,1662.4,"",,,,0.15,0,,,,,,,,,,,,,
"G01",Absolute Quantification,"","Fe75 - A",Ch1Unknown,"FAM","Manual",6.1,ddPCR Supermix for Probes (no dUTP),122,,,7.7,5.4,64,12298,,,,,,12362,,,,,,,,,,,,,,,,,,1,1,3572,7201.2,1667.2,1695.9,"",,,,6.9,0,,,,,,,,,,,,,
"H01",Absolute Quantification,"","Fe75 - B",Ch1Unknown,"FAM","Manual",0.88,ddPCR Supermix for Probes (no dUTP),17.6,,,1.6,0.62,9,12015,,,,,,12024,,,,,,,,,,,,,,,,,,1,1,3572,7383.4,1650.7,1655,"",,,,1.2,0,,,,,,,,,,,,,
"A02",Absolute Quantification,"","Fe 75C (1)",Ch1Unknown,"FAM","Manual",0.4,ddPCR Supermix for Probes (no dUTP),8,,,0.86,0.24,5,14796,,,,,,14801,,,,,,,,,,,,,,,,,,1,1,3572,7209.2,1748.8,1750.6,"",,,,0.61,0,,,,,,,,,,,,,
"A03",Absolute Quantification,"","Ga74 - A",Ch1Unknown,"FAM","Manual",0.27,ddPCR Supermix for Probes (no dUTP),5.4,,,0.71,0.14,3,13235,,,,,,13238,,,,,,,,,,,,,,,,,,1,1,3572,8057.5,1733.2,1734.6,"",,,,0.46,0,,,,,,,,,,,,,
"A04",Absolute Quantification,"","Br73 - C",Ch1Unknown,"FAM","Manual",0.23,ddPCR Supermix for Probes (no dUTP),4.6,,,0.6,0.12,3,15658,,,,,,15661,,,,,,,,,,,,,,,,,,1,1,3572,7114.3,1747.9,1748.9,"",,,,0.39,0,,,,,,,,,,,,,
