Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A05",Absolute Quantification,"","197 A",Ch1Unknown,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,"",,,,,,,,,,,,,,,,,,
"B05",Absolute Quantification,"","197 B",Ch1Unknown,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,"",,,,,,,,,,,,,,,,,,
"C05",Absolute Quantification,"","720A",Ch1Unknown,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,707,2953,,,,,,3660,,,,,,,,,,,,,,,,,,1,1,1474,6143.7,1245,2191.3,"",,,,,,,,,,,,,,,,,,
"D05",Absolute Quantification,"","720 B",Ch1Unknown,"FAM","OK",237,ddPCR Supermix for Probes (no dUTP),4740,,,247,227,2245,10065,,,,,,12310,,,,,,,,,,,,,,,,,,1,1,1821,5577.7,1132.4,1943.1,"",,,,242,232,,,,,,,,,,,,,


"G05",Absolute Quantification,"","197 NEG",Ch1Negative Control,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,14636,,,,,,14636,,,,,,,,,,,,,,,,,,1,1,0,0,1301,1301,"",,,,,,,,,,,,,,,,,,
"H05",Absolute Quantification,"","197 NEG",Ch1Negative Control,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,"",,,,,,,,,,,,,,,,,,
"A06",Absolute Quantification,"","197 A",Ch1Unknown,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,2047,7152,,,,,,9199,,,,,,,,,,,,,,,,,,1,1,2237,8978.9,1285.3,2997.3,"",,,,,,,,,,,,,,,,,,
"B06",Absolute Quantification,"","197 B",Ch1Unknown,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,2006,6069,,,,,,8075,,,,,,,,,,,,,,,,,,1,1,2723,8910.6,1292.8,3185.2,"",,,,,,,,,,,,,,,,,,
"C06",Absolute Quantification,"","720A",Ch1Unknown,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,1410,6551,,,,,,7961,,,,,,,,,,,,,,,,,,1,1,1957,5687.3,1164,1965.1,"",,,,,,,,,,,,,,,,,,
"D06",Absolute Quantification,"","720 B",Ch1Unknown,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,1705,8187,,,,,,9892,,,,,,,,,,,,,,,,,,1,1,1374,5430.4,1138,1877.9,"",,,,,,,,,,,,,,,,,,


"G06",Absolute Quantification,"","720 NEG",Ch1Negative Control,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,11080,,,,,,11080,,,,,,,,,,,,,,,,,,1,1,0,0,1138.1,1138.1,"",,,,,,,,,,,,,,,,,,
"H06",Absolute Quantification,"","720 NEG",Ch1Negative Control,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,11269,,,,,,11269,,,,,,,,,,,,,,,,,,1,1,0,0,1155,1155,"",,,,,,,,,,,,,,,,,,
"A07",Absolute Quantification,"","197 A",Ch1Unknown,"FAM","OK",297,ddPCR Supermix for Probes (no dUTP),5940,,,309,285,2449,8537,,,,,,10986,,,,,,,,,,,,,,,,,,1,1,2103,8906.8,1278.8,2979.3,"",,,,303,291,,,,,,,,,,,,,
"B07",Absolute Quantification,"","197 B",Ch1Unknown,"FAM","OK",307,ddPCR Supermix for Probes (no dUTP),6140,,,318,296,3112,10445,,,,,,13557,,,,,,,,,,,,,,,,,,1,1,2708,8924.1,1275.8,3031.4,"",,,,312,301,,,,,,,,,,,,,
"C07",Absolute Quantification,"","720A",Ch1Unknown,"FAM","OK",232,ddPCR Supermix for Probes (no dUTP),4640,,,242,223,2372,10863,,,,,,13235,,,,,,,,,,,,,,,,,,1,1,1838,5571.6,1139.1,1933.5,"",,,,237.1,227.6,,,,,,,,,,,,,
"D07",Absolute Quantification,"","720 B",Ch1Unknown,"FAM","OK",221,ddPCR Supermix for Probes (no dUTP),4420,,,229,212,2720,13181,,,,,,15901,,,,,,,,,,,,,,,,,,1,1,1877,5482.5,1135,1878.7,"",,,,225,216.5,,,,,,,,,,,,,




"A08",Absolute Quantification,"","197 D",Ch1Unknown,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,2165,7467,,,,,,9632,,,,,,,,,,,,,,,,,,1,1,2647,8924.6,1284.3,3001.7,"",,,,,,,,,,,,,,,,,,
"B08",Absolute Quantification,"","197 D",Ch1Unknown,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,2128,7253,,,,,,9381,,,,,,,,,,,,,,,,,,1,1,2678,8704.3,1269,2955.6,"",,,,,,,,,,,,,,,,,,
"C08",Absolute Quantification,"","197 D",Ch1Unknown,"FAM","OK",297,ddPCR Supermix for Probes (no dUTP),5940,,,309,285,2343,8169,,,,,,10512,,,,,,,,,,,,,,,,,,1,1,2433,8820.7,1278.5,2959.6,"",,,,303,291,,,,,,,,,,,,,
"D08",Absolute Quantification,"","720 C",Ch1Unknown,"FAM","OK",190,ddPCR Supermix for Probes (no dUTP),3800,,,199,181,1764,10054,,,,,,11818,,,,,,,,,,,,,,,,,,1,1,1920,5376.2,1135.2,1768.2,"",,,,194.7,185.7,,,,,,,,,,,,,
"E08",Absolute Quantification,"","720 C",Ch1Unknown,"FAM","OK",182,ddPCR Supermix for Probes (no dUTP),3640,,,191,174,1814,10834,,,,,,12648,,,,,,,,,,,,,,,,,,1,1,1499,5395.6,1141.8,1751.9,"",,,,186.4,177.9,,,,,,,,,,,,,
"F08",Absolute Quantification,"","720 C",Ch1Unknown,"FAM","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,1166,6871,,,,,,8037,,,,,,,,,,,,,,,,,,1,1,1934,5381.5,1164.5,1776.3,"",,,,,,,,,,,,,,,,,,



"B09",Absolute Quantification,"","197 D",Ch1Unknown,"FAM","OK",226,ddPCR Supermix for Probes (no dUTP),4520,,,235,217,2466,11666,,,,,,14132,,,,,,,,,,,,,,,,,,1,1,2533,8970.5,1288.6,2629.1,"",,,,230.2,221.1,,,,,,,,,,,,,
"C09",Absolute Quantification,"","197 D",Ch1Unknown,"FAM","OK",293,ddPCR Supermix for Probes (no dUTP),5860,,,304,282,2814,9953,,,,,,12767,,,,,,,,,,,,,,,,,,1,1,2339,8797.1,1274.2,2932.4,"",,,,298,287,,,,,,,,,,,,,
"D09",Absolute Quantification,"","720 C",Ch1Unknown,"FAM","OK",169,ddPCR Supermix for Probes (no dUTP),3380,,,177,162,1932,12479,,,,,,14411,,,,,,,,,,,,,,,,,,1,1,1968,5482.4,1146.4,1727.7,"",,,,173.2,165.5,,,,,,,,,,,,,
