mesocosm_id,species,biomass,copies_uL,copies_20uL,copies_rxn,P,seed_weight,date_bio_harvested,date_roots_havested,number_plants
1,Bromus,14.39,0,0,0,0.428,,27-Aug,27-Aug,2
1,Festuca,31.19,0,0,0,0.189,,27-Aug,27-Aug,3
1,Gaillardia,6.69,0,0,0,0.232,,27-Aug,27-Aug,3
1,Taraxacum,24.34,0,0,0,0.316,,27-Aug,27-Aug,3
2,Bromus,26.19,0,0,0,0.412,,27-Aug,27-Aug,3
2,Festuca,40.62,0,0,0,0.197,,27-Aug,27-Aug,3
2,Gaillardia,9.15,0,0,0,0.244,,27-Aug,27-Aug,3
2,Taraxacum,18.97,0,0,0,0.299,,27-Aug,27-Aug,3
3,Bromus,25.35,0,0,0,,,27-Aug,27-Aug,2
3,Festuca,60.35,0,0,0,,,27-Aug,27-Aug,3
3,Gaillardia,6.68,0,0,0,,,27-Aug,27-Aug,3
3,Taraxacum,23.6,0,0,0,,,27-Aug,27-Aug,3
4,Bromus,27.71,0,0,0,0.364,,27-Aug,27-Aug,3
4,Festuca,29.01,0,0,0,0.21,,27-Aug,27-Aug,3
4,Gaillardia,11.88,0,0,0,0.183,,27-Aug,27-Aug,3
4,Taraxacum,17.75,0,0,0,0.287,,27-Aug,27-Aug,3
5,Bromus,30.76,0,0,0,,,27-Aug,04-Sep,3
5,Festuca,35.2,0,0,0,,,27-Aug,04-Sep,3
5,Gaillardia,3.69,0,0,0,,,27-Aug,04-Sep,3
5,Taraxacum,18.04,0,0,0,,,27-Aug,04-Sep,3
6,Bromus,42.92,0,0,0,,,27-Aug,04-Sep,3
6,Festuca,30.83,0,0,0,,,27-Aug,04-Sep,3
6,Gaillardia,11.76,0,0,0,,0.00183,27-Aug,04-Sep,3
6,Taraxacum,23.39,0,0,0,,0.0004,27-Aug,04-Sep,3
7,Bromus,18.14,0,0,0,,,27-Aug,04-Sep,2
7,Festuca,41.37,0,0,0,,,27-Aug,04-Sep,3
7,Gaillardia,12.63,0,0,0,,,27-Aug,04-Sep,3
7,Taraxacum,16.39,0,0,0,,,27-Aug,04-Sep,3
8,Bromus,42.23,0.73,14.6,16.06,0.311,,27-Aug,05-Sep,3
8,Festuca,37.62,0,0,0,0.194,,27-Aug,05-Sep,3
8,Gaillardia,10.67,0.71,14.2,15.62,0.28,,27-Aug,05-Sep,3
8,Taraxacum,17.6,7.3,146,160.6,0.251,,27-Aug,05-Sep,3
9,Bromus,36,10.6,212,233.2,,,27-Aug,03-Sep,3
9,Festuca,48.05,0.75,15,16.5,,,27-Aug,03-Sep,3
9,Gaillardia,2.2,0.74,14.8,16.28,,,27-Aug,03-Sep,3
9,Taraxacum,22.44,2,40,44,,0.000635,27-Aug,03-Sep,3
10,Bromus,28.97,0.57,11.4,12.54,,,27-Aug,05-Sep,3
10,Festuca,53.59,0,0,0,,,27-Aug,05-Sep,3
10,Gaillardia,6.16,2.9,58,63.8,,,27-Aug,05-Sep,3
10,Taraxacum,20.22,0.54,10.8,11.88,,,27-Aug,05-Sep,3
11,Bromus,22.1,8,160,176,0.316,0.0025,27-Aug,03-Sep,2
11,Festuca,20.85,2.1,42,46.2,0.276,,27-Aug,03-Sep,3
11,Gaillardia,9.82,8.15,163,179.3,0.273,0.00162,27-Aug,03-Sep,3
11,Taraxacum,25.97,1.3,26,28.6,0.328,,27-Aug,03-Sep,3
12,Bromus,45.98,2.1,42,46.2,,,27-Aug,05-Sep,3
12,Festuca,31.19,0.45,9,9.9,,,27-Aug,05-Sep,3
12,Gaillardia,2.8,2.8,56,61.6,,,27-Aug,05-Sep,3
12,Taraxacum,23.77,3.1,62,68.2,,,27-Aug,05-Sep,3
13,Bromus,28.12,0,0,0,0.294,0.0031,27-Aug,03-Sep,3
13,Festuca,34.35,0,0,0,0.184,,27-Aug,03-Sep,3
13,Gaillardia,7.79,1.5,30,33,0.203,,27-Aug,03-Sep,3
13,Taraxacum,25.35,0,0,0,0.285,,27-Aug,03-Sep,3
14,Bromus,45.84,0,0,0,,,27-Aug,03-Sep,3
14,Festuca,41.61,1.5,30,33,,,27-Aug,03-Sep,3
14,Gaillardia,4.29,2.1,42,46.2,,,27-Aug,03-Sep,3
14,Taraxacum,14.22,0.51,10.2,11.22,,0.00051,27-Aug,03-Sep,3
15,Bromus,19.32,5,100,110,,,27-Aug,03-Sep,2
15,Festuca,38.6,2.1,42,46.2,,,27-Aug,03-Sep,3
15,Gaillardia,9.19,9.5,190,209,,,27-Aug,03-Sep,3
15,Taraxacum,17.37,5.1,102,112.2,,,27-Aug,03-Sep,2
16,Bromus,34.87,6.5,130,143,0.384,,27-Aug,05-Sep,3
16,Festuca,24.85,1.3,26,28.6,0.188,,27-Aug,05-Sep,3
16,Gaillardia,10.42,5,100,110,0.3,,27-Aug,05-Sep,3
16,Taraxacum,22.48,15.9,318,349.8,0.31,,27-Aug,05-Sep,3
17,Bromus,16.53,2.6,52,57.2,,,27-Aug,03-Sep,3
17,Festuca,53.74,3.7,74,81.4,,,27-Aug,03-Sep,3
17,Gaillardia,12.77,2.1,42,46.2,,0.00182,27-Aug,03-Sep,3
17,Taraxacum,19.11,10.6,212,233.2,,,27-Aug,03-Sep,3
18,Bromus,8.02,1.6,32,35.2,0.221,,27-Aug,03-Sep,1
18,Festuca,59.24,2,40,44,0.178,,27-Aug,03-Sep,3
18,Gaillardia,11.44,7.3,146,160.6,0.206,,27-Aug,03-Sep,3
18,Taraxacum,23.9,3.4,68,74.8,0.262,,27-Aug,03-Sep,3
19,Bromus,21.52,0.33,6.6,7.26,,,27-Aug,03-Sep,3
19,Festuca,19.57,2.9,58,63.8,,,27-Aug,03-Sep,3
19,Gaillardia,9.97,9.8,196,215.6,,0.00164,27-Aug,03-Sep,3
19,Taraxacum,17.1,1.2,24,26.4,,,27-Aug,03-Sep,3
20,Bromus,12.4,0.26,5.2,5.72,,,27-Aug,05-Sep,1
20,Festuca,36.41,1.2,24,26.4,,,27-Aug,05-Sep,3
20,Gaillardia,9.87,5,100,110,,0.00173,27-Aug,05-Sep,3
20,Taraxacum,28.15,8.9,178,195.8,,,27-Aug,05-Sep,3
21,Bromus,20.2,1.8,36,39.6,0.332,,27-Aug,05-Sep,3
21,Festuca,46.99,2.1,42,46.2,0.157,,27-Aug,05-Sep,3
21,Gaillardia,12.37,2.5,50,55,0.226,0.00171,27-Aug,05-Sep,3
21,Taraxacum,23.66,15,300,330,0.215,,27-Aug,05-Sep,3
22,Bromus,16.91,0.42,8.4,9.24,,,28-Aug,05-Sep,1
22,Festuca,38.06,0,0,0,,,28-Aug,05-Sep,3
22,Gaillardia,18.46,0.9,18,19.8,,0.00132,28-Aug,05-Sep,3
22,Taraxacum,24.48,0,0,0,,,28-Aug,05-Sep,3
23,Bromus,30.72,0,0,0,,,28-Aug,05-Sep,3
23,Festuca,40.83,0,0,0,,,28-Aug,05-Sep,3
23,Gaillardia,10.56,0.36,7.2,7.92,,,28-Aug,05-Sep,3
23,Taraxacum,21.69,0,0,0,,,28-Aug,05-Sep,3
24,Bromus,24.46,111.4,2228,2450.8,,,28-Aug,05-Sep,3
24,Festuca,34.33,0,0,0,,,28-Aug,05-Sep,3
24,Gaillardia,13.02,0.36,7.2,7.92,,0.00175,28-Aug,05-Sep,3
24,Taraxacum,20.65,0.51,10.2,11.22,,0.00049,28-Aug,05-Sep,3
25,Bromus,24.82,0.25,5,5.5,0.361,,28-Aug,04-Sep,3
25,Festuca,35.91,0.53,10.6,11.66,0.164,,28-Aug,04-Sep,3
25,Gaillardia,9.86,0.88,17.6,19.36,0.275,,28-Aug,04-Sep,3
25,Taraxacum,21.35,0.74,14.8,16.28,0.307,,28-Aug,04-Sep,3
26,Bromus,12.99,0,0,0,0.303,,28-Aug,04-Sep,1
26,Festuca,50.18,0,0,0,0.153,,28-Aug,04-Sep,3
26,Gaillardia,12.48,0,0,0,0.187,,28-Aug,04-Sep,3
26,Taraxacum,29.7,0.39,7.8,8.58,0.245,,28-Aug,04-Sep,3
27,Bromus,24.36,0,0,0,,,28-Aug,04-Sep,3
27,Festuca,34.28,0,0,0,,,28-Aug,04-Sep,3
27,Gaillardia,13.09,0.56,11.2,12.32,,0.00206,28-Aug,04-Sep,3
27,Taraxacum,24.22,0.22,4.4,4.84,,,28-Aug,04-Sep,3
28,Bromus,23.48,0,0,0,0.366,,28-Aug,05-Sep,2
28,Festuca,72.1,0,0,0,0.149,,28-Aug,05-Sep,3
28,Gaillardia,12.99,0.5,10,11,0.21,0.00173,28-Aug,05-Sep,3
28,Taraxacum,18.06,0,0,0,0.243,0.000505,28-Aug,05-Sep,3
