Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,,197198 1,Ch1Positive Control,FAM,Manual,26.2,ddPCR Supermix for Probes (no dUTP),524,,,29.1,24.7,323,14347,,,,,,14670,,,,,,,,,,,,,,,,,,1,1,7783,9381.3,1234.6,1414,,,,,28,0,,,,,,,,,,,,
B01,Absolute Quantification,,197198 2,Ch1Positive Control,FAM,Manual,14.8,ddPCR Supermix for Probes (no dUTP),296,,,16.7,13.7,214,16958,,,,,,17172,,,,,,,,,,,,,,,,,,1,1,7783,8583.8,1185.9,1278.1,,,,,16,0,,,,,,,,,,,,
C01,Absolute Quantification,,197198 3,Ch1Positive Control,FAM,Manual,29.4,ddPCR Supermix for Probes (no dUTP),588,,,32.3,28,413,16298,,,,,,16711,,,,,,,,,,,,,,,,,,1,1,7783,8517.8,1203.8,1384.6,,,,,31,0,,,,,,,,,,,,
D01,Absolute Quantification,,197198 4,Ch1Positive Control,FAM,Manual,35.7,ddPCR Supermix for Probes (no dUTP),714,,,38.7,34.1,525,17053,,,,,,17578,,,,,,,,,,,,,,,,,,1,1,7783,8428.8,1181.1,1397.6,,,,,37,0,,,,,,,,,,,,
E01,Absolute Quantification,,197198 5,Ch1Positive Control,FAM,Manual,22.8,ddPCR Supermix for Probes (no dUTP),456,,,25.3,21.5,324,16551,,,,,,16875,,,,,,,,,,,,,,,,,,1,1,7783,8398.2,1224.1,1361.9,,,,,24,0,,,,,,,,,,,,
F01,Absolute Quantification,,197198 6,Ch1Positive Control,FAM,Manual,19.9,ddPCR Supermix for Probes (no dUTP),398,,,22.3,18.7,274,16042,,,,,,16316,,,,,,,,,,,,,,,,,,1,1,7783,8788.1,1220.8,1347.9,,,,,21,0,,,,,,,,,,,,
G01,Absolute Quantification,,197198 7,Ch1Positive Control,FAM,Manual,10.2,ddPCR Supermix for Probes (no dUTP),204,,,11.9,9.4,138,15797,,,,,,15935,,,,,,,,,,,,,,,,,,1,1,7783,8989.2,1215.4,1282.7,,,,,11,0,,,,,,,,,,,,
H01,Absolute Quantification,,197198 8,Ch1Positive Control,FAM,Manual,30.8,ddPCR Supermix for Probes (no dUTP),616,,,33.7,29.3,419,15804,,,,,,16223,,,,,,,,,,,,,,,,,,1,1,7783,8727.3,1196,1390.5,,,,,32,0,,,,,,,,,,,,
A02,Absolute Quantification,,197198 9,Ch1Positive Control,FAM,Manual,12.1,ddPCR Supermix for Probes (no dUTP),242,,,14.1,11,135,13080,,,,,,13215,,,,,,,,,,,,,,,,,,1,1,7783,8810,1227.3,1304.8,,,,,13,0,,,,,,,,,,,,
B02,Absolute Quantification,,197198 10,Ch1Positive Control,FAM,Manual,51.5,ddPCR Supermix for Probes (no dUTP),1030,,,55.5,49.4,615,13754,,,,,,14369,,,,,,,,,,,,,,,,,,1,1,7783,8736.6,1229.7,1551,,,,,54,0,,,,,,,,,,,,
C02,Absolute Quantification,,197198 NTC,Ch1NTC,FAM,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,13950,,,,,,13950,,,,,,,,,,,,,,,,,,1,1,7783,0,1192.1,1192.1,,,,,0.12,0,,,,,,,,,,,,
D02,Absolute Quantification,,197198 NTC,Ch1NTC,FAM,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,14035,,,,,,14035,,,,,,,,,,,,,,,,,,1,1,7783,0,1169.2,1169.2,,,,,0.11,0,,,,,,,,,,,,
E02,Absolute Quantification,,197198 NTC,Ch1NTC,FAM,Manual,0.09,ddPCR Supermix for Probes (no dUTP),1.8,,,0.42,0.02,1,13350,,,,,,13351,,,,,,,,,,,,,,,,,,1,1,7783,8237.1,1156.6,1157.1,,,,,0.22,0,,,,,,,,,,,,
A03,Absolute Quantification,,240448 1,Ch1Positive Control,FAM,Manual,36,ddPCR Supermix for Probes (no dUTP),720,,,39.2,34.4,496,15966,,,,,,16462,,,,,,,,,,,,,,,,,,1,1,4994,6473.7,320.91,506.29,,,,,38,0,,,,,,,,,,,,
B03,Absolute Quantification,,240448 2,Ch1Positive Control,FAM,Manual,14.7,ddPCR Supermix for Probes (no dUTP),294,,,16.7,13.7,210,16724,,,,,,16934,,,,,,,,,,,,,,,,,,1,1,4994,6457.5,324.68,400.73,,,,,16,0,,,,,,,,,,,,
C03,Absolute Quantification,,240448 3,Ch1Positive Control,FAM,Manual,25.5,ddPCR Supermix for Probes (no dUTP),510,,,28,24.2,396,18053,,,,,,18449,,,,,,,,,,,,,,,,,,1,1,4994,6324,313.76,442.77,,,,,27,0,,,,,,,,,,,,
D03,Absolute Quantification,,240448 4,Ch1Positive Control,FAM,Manual,26.4,ddPCR Supermix for Probes (no dUTP),528,,,28.9,25.1,424,18709,,,,,,19133,,,,,,,,,,,,,,,,,,1,1,4994,6391.8,317.28,451.89,,,,,28,0,,,,,,,,,,,,
E03,Absolute Quantification,,240448 5,Ch1Positive Control,FAM,Manual,22.4,ddPCR Supermix for Probes (no dUTP),448,,,25.2,21.1,263,13656,,,,,,13919,,,,,,,,,,,,,,,,,,1,1,4994,5743.3,301.8,404.61,,,,,24,0,,,,,,,,,,,,
F03,Absolute Quantification,,240448 6,Ch1Positive Control,FAM,Manual,52.4,ddPCR Supermix for Probes (no dUTP),1048,,,55.9,50.5,820,18021,,,,,,18841,,,,,,,,,,,,,,,,,,1,1,4994,6290.6,314.92,575,,,,,54,0,,,,,,,,,,,,
G03,Absolute Quantification,,240448 7,Ch1Positive Control,FAM,Manual,24.7,ddPCR Supermix for Probes (no dUTP),494,,,27.4,23.3,323,15238,,,,,,15561,,,,,,,,,,,,,,,,,,1,1,4994,5983.5,309.04,426.83,,,,,26,0,,,,,,,,,,,,
H03,Absolute Quantification,,240448 8,Ch1Positive Control,FAM,Manual,47.7,ddPCR Supermix for Probes (no dUTP),954,,,51.5,45.7,600,14503,,,,,,15103,,,,,,,,,,,,,,,,,,1,1,4994,6042,314.79,542.32,,,,,50,0,,,,,,,,,,,,
A04,Absolute Quantification,,240448 9,Ch1Positive Control,FAM,Manual,46.8,ddPCR Supermix for Probes (no dUTP),936,,,51.6,44.3,361,8904,,,,,,9265,,,,,,,,,,,,,,,,,,1,1,4994,5784.5,331.96,544.42,,,,,49,0,,,,,,,,,,,,
B04,Absolute Quantification,,240448 10,Ch1Positive Control,FAM,Manual,37.3,ddPCR Supermix for Probes (no dUTP),746,,,40.6,35.6,491,15249,,,,,,15740,,,,,,,,,,,,,,,,,,1,1,4994,5940,314.06,489.56,,,,,39,0,,,,,,,,,,,,
C04,Absolute Quantification,,240448 NTC,Ch1NTC,FAM,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.22,0,0,15776,,,,,,15776,,,,,,,,,,,,,,,,,,1,1,4994,0,309.37,309.37,,,,,0.1,0,,,,,,,,,,,,
D04,Absolute Quantification,,240448 NTC,Ch1NTC,FAM,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.21,0,0,16465,,,,,,16465,,,,,,,,,,,,,,,,,,1,1,4994,0,308.2,308.2,,,,,0.098,0,,,,,,,,,,,,
E04,Absolute Quantification,,240448 NTC,Ch1NTC,FAM,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.23,0,0,15123,,,,,,15123,,,,,,,,,,,,,,,,,,1,1,4994,0,303.87,303.87,,,,,0.11,0,,,,,,,,,,,,
A05,Absolute Quantification,,240720 1,Ch1Positive Control,FAM,Manual,9.5,ddPCR Supermix for Probes (no dUTP),190,,,11.3,8.5,102,12629,,,,,,12731,,,,,,,,,,,,,,,,,,1,1,4503,5110.2,1108.1,1140.1,,,,,10,0,,,,,,,,,,,,
B05,Absolute Quantification,,240720 2,Ch1Positive Control,FAM,Manual,8.7,ddPCR Supermix for Probes (no dUTP),174,,,10.1,8,139,18736,,,,,,18875,,,,,,,,,,,,,,,,,,1,1,4503,5177.7,1132.8,1162.6,,,,,9.4,0,,,,,,,,,,,,
C05,Absolute Quantification,,240720 3,Ch1Positive Control,FAM,Manual,9.6,ddPCR Supermix for Probes (no dUTP),192,,,11.1,8.8,151,18430,,,,,,18581,,,,,,,,,,,,,,,,,,1,1,4503,5198.2,1130.6,1163.7,,,,,10,0,,,,,,,,,,,,
D05,Absolute Quantification,,240720 4,Ch1Positive Control,FAM,Manual,9.7,ddPCR Supermix for Probes (no dUTP),194,,,11.2,8.9,157,19053,,,,,,19210,,,,,,,,,,,,,,,,,,1,1,4503,5155.2,1123.5,1156.4,,,,,10,0,,,,,,,,,,,,
E05,Absolute Quantification,,240720 5,Ch1Positive Control,FAM,Manual,5.7,ddPCR Supermix for Probes (no dUTP),114,,,7,5.1,89,18273,,,,,,18362,,,,,,,,,,,,,,,,,,1,1,4503,5270.4,1134.9,1154.9,,,,,6.3,0,,,,,,,,,,,,
F05,Absolute Quantification,,240720 6,Ch1Positive Control,FAM,Manual,10.4,ddPCR Supermix for Probes (no dUTP),208,,,12,9.6,163,18325,,,,,,18488,,,,,,,,,,,,,,,,,,1,1,4503,4859.2,1100.3,1133.4,,,,,11,0,,,,,,,,,,,,
G05,Absolute Quantification,,240720 7,Ch1Positive Control,FAM,Manual,21.8,ddPCR Supermix for Probes (no dUTP),436,,,24,20.6,358,19168,,,,,,19526,,,,,,,,,,,,,,,,,,1,1,4503,5008.7,1113.9,1185.3,,,,,23,0,,,,,,,,,,,,
