date (weighed),mesocosm.id,species,species.id,aboveground.biomass
September.14.2024,1,Taraxacum,Ta.1,8.28
September 14. 2024,1,Taraxacum,Ta.2,7.56
September 14. 2024,1,Taraxacum,Ta.3,8.5
September 14. 2024,3,Taraxacum,Ta.4,9.18
September 14. 2024,3,Taraxacum,Ta.5,5.54
September 14. 2024,3,Taraxacum,Ta.6,8.88
September 14. 2024,2,Taraxacum,Ta.7,9.55
September 14. 2024,2,Taraxacum,Ta.8,5.52
September 14. 2024,2,Taraxacum,Ta.9,3.9
September 14. 2024,4,Taraxacum,Ta.10,6.7
September 14. 2024,4,Taraxacum,Ta.11,8.9
September 14. 2024,4,Taraxacum,Ta.12,2.15
September 14. 2024,5,Taraxacum,Ta.13,8.6
September 14. 2024,5,Taraxacum,Ta.14,4.34
September 14. 2024,5,Taraxacum,Ta.15,5.1
September 14. 2024,6,Taraxacum,Ta.16,9.72
September 14. 2024,6,Taraxacum,Ta.17,6.13
September 14. 2024,6,Taraxacum,Ta.18,7.54
September 14. 2024,7,Taraxacum,Ta.19,7.34
September 14. 2024,7,Taraxacum,Ta.20,6.25
September 14. 2024,7,Taraxacum,Ta.21,2.8
September 14. 2024,8,Taraxacum,Ta.22,7.15
September 14. 2024,8,Taraxacum,Ta.23,5.95
September 14. 2024,8,Taraxacum,Ta.24,4.5
September 14. 2024,9,Taraxacum,Ta.25,6.56
September 14. 2024,9,Taraxacum,Ta.26,11.1
September 14. 2024,9,Taraxacum,Ta.27,4.78
September 14. 2024,10,Taraxacum,Ta.28,9.01
September 14. 2024,10,Taraxacum,Ta.29,5.51
September 14. 2024,10,Taraxacum,Ta.30,5.7
September 14. 2024,11,Taraxacum,Ta.31,9.43
September 14. 2024,11,Taraxacum,Ta.32,8.2
September 14. 2024,11,Taraxacum,Ta.33,8.34
September 14. 2024,12,Taraxacum,Ta.34,11.05
September 14. 2024,12,Taraxacum,Ta.35,7.96
September 14. 2024,12,Taraxacum,Ta.36,4.76
September 14. 2024,13,Taraxacum,Ta.37,6.83
September 14. 2024,13,Taraxacum,Ta.38,9.7
September 14. 2024,13,Taraxacum,Ta.39,8.82
September 14. 2024,14,Taraxacum,Ta.40,5.3
September 14. 2024,14,Taraxacum,Ta.41,3.4
September 14. 2024,14,Taraxacum,Ta.42,5.52
September 14. 2024,15,Taraxacum,Ta.43,8.83
September 14. 2024,15,Taraxacum,Ta.44,8.54
September 14. 2024,15,Taraxacum,Ta.45,NA
September 14. 2024,16,Taraxacum,Ta.46,7.84
September 14. 2024,16,Taraxacum,Ta.47,7.41
September 14. 2024,16,Taraxacum,Ta.48,7.23
September 14. 2024,17,Taraxacum,Ta.49,6.52
September 14. 2024,17,Taraxacum,Ta.50,4.18
September 14. 2024,17,Taraxacum,Ta.51,8.41
September 14. 2024,18,Taraxacum,Ta.52,9.63
September 14. 2024,18,Taraxacum,Ta.53,7.6
September 14. 2024,18,Taraxacum,Ta.54,6.67
September 14. 2024,19,Taraxacum,Ta.55,5.81
September 14. 2024,19,Taraxacum,Ta.56,4.44
September 14. 2024,19,Taraxacum,Ta.57,6.85
September 14. 2024,20,Taraxacum,Ta.58,11.4
September 14. 2024,20,Taraxacum,Ta.59,2.57
September 14. 2024,20,Taraxacum,Ta.60,14.18
September 16. 2024,21,Taraxacum,Ta.61,7.74
September 16. 2024,21,Taraxacum,Ta.62,10.4
September 16. 2024,21,Taraxacum,Ta.63,5.52
September 16. 2024,22,Taraxacum,Ta.64,6.31
September 16. 2024,22,Taraxacum,Ta.65,8.61
September 16. 2024,22,Taraxacum,Ta.66,9.56
September 16. 2024,23,Taraxacum,Ta.67,8.3
September 16. 2024,23,Taraxacum,Ta.68,4.4
September 16. 2024,23,Taraxacum,Ta.69,8.99
September 16. 2024,24,Taraxacum,Ta.70,7.2
September 16. 2024,24,Taraxacum,Ta.71,4.65
September 16. 2024,24,Taraxacum,Ta.72,8.8
September 16. 2024,25,Taraxacum,Ta.73,9.47
September 16. 2024,25,Taraxacum,Ta.74,7.12
September 16. 2024,25,Taraxacum,Ta.75,4.76
September 16. 2024,26,Taraxacum,Ta.76,12.84
September 16. 2024,26,Taraxacum,Ta.77,7.95
September 16. 2024,26,Taraxacum,Ta.78,8.91
September 16. 2024,27,Taraxacum,Ta.79,6.11
September 16. 2024,27,Taraxacum,Ta.80,13.36
September 16. 2024,27,Taraxacum,Ta.81,4.75
September 16. 2024,28,Taraxacum,Ta.82,4.37
September 16. 2024,28,Taraxacum,Ta.83,11.68
September 16. 2024,28,Taraxacum,Ta.84,2.01
September.14.2024,1,Gaillardia,Ga.1,3.01
September 14. 2024,1,Gaillardia,Ga.2,1.26
September 14. 2024,1,Gaillardia,Ga.3,2.42
September 14. 2024,3,Gaillardia,Ga.4,0.36
September 14. 2024,3,Gaillardia,Ga.5,0.74
September 14. 2024,3,Gaillardia,Ga.6,5.58
September 14. 2024,2,Gaillardia,Ga.7,7.55
September 14. 2024,2,Gaillardia,Ga.8,0.12
September 14. 2024,2,Gaillardia,Ga.9,1.48
September 14. 2024,4,Gaillardia,Ga.10,5.25
September 14. 2024,4,Gaillardia,Ga.11,0.59
September 14. 2024,4,Gaillardia,Ga.12,6.04
September 14. 2024,5,Gaillardia,Ga.13,2.03
September 14. 2024,5,Gaillardia,Ga.14,0.19
September 14. 2024,5,Gaillardia,Ga.15,1.47
September 14. 2024,6,Gaillardia,Ga.16,0.95
September 14. 2024,6,Gaillardia,Ga.17,7.87
September 14. 2024,6,Gaillardia,Ga.18,2.94
September 14. 2024,7,Gaillardia,Ga.19,4.56
September 14. 2024,7,Gaillardia,Ga.20,6.38
September 14. 2024,7,Gaillardia,Ga.21,1.69
September 14. 2024,8,Gaillardia,Ga.22,6.47
September 14. 2024,8,Gaillardia,Ga.23,1.98
September 14. 2024,8,Gaillardia,Ga.24,2.22
September 14. 2024,9,Gaillardia,Ga.25,0.29
September 14. 2024,9,Gaillardia,Ga.26,1.01
September 14. 2024,9,Gaillardia,Ga.27,0.9
September 14. 2024,10,Gaillardia,Ga.28,1.11
September 14. 2024,10,Gaillardia,Ga.29,2.72
September 14. 2024,10,Gaillardia,Ga.30,2.33
September 14. 2024,11,Gaillardia,Ga.31,0.9
September 14. 2024,11,Gaillardia,Ga.32,5.36
September 14. 2024,11,Gaillardia,Ga.33,3.56
September 14. 2024,12,Gaillardia,Ga.34,0.31
September 14. 2024,12,Gaillardia,Ga.35,0.45
September 14. 2024,12,Gaillardia,Ga.36,2.04
September 14. 2024,13,Gaillardia,Ga.37,4.62
September 14. 2024,13,Gaillardia,Ga.38,1.34
September 14. 2024,13,Gaillardia,Ga.39,1.83
September 14. 2024,14,Gaillardia,Ga.40,2.1
September 14. 2024,14,Gaillardia,Ga.41,1.16
September 14. 2024,14,Gaillardia,Ga.42,1.03
September 14. 2024,15,Gaillardia,Ga.43,1.98
September 14. 2024,15,Gaillardia,Ga.44,1.27
September 14. 2024,15,Gaillardia,Ga.45,5.94
September 14. 2024,16,Gaillardia,Ga.46,1.17
September 14. 2024,16,Gaillardia,Ga.47,2.65
September 14. 2024,16,Gaillardia,Ga.48,6.6
September 14. 2024,17,Gaillardia,Ga.49,2.22
September 14. 2024,17,Gaillardia,Ga.50,8.56
September 14. 2024,17,Gaillardia,Ga.51,1.99
September 14. 2024,18,Gaillardia,Ga.52,1.6
September 14. 2024,18,Gaillardia,Ga.53,3.6
September 14. 2024,18,Gaillardia,Ga.54,6.24
September 14. 2024,19,Gaillardia,Ga.55,6.53
