	M1	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M2	M20	M21	M22	M23	M24	M25	M26	M27	M28	M3	M4	M5	M6	M7	M8	M9
M1	0.0	0.7136882740871803	0.4319607527746501	0.7246260254141869	0.6871481421907673	0.08388290172108734	0.6006916519221489	0.7584043751005308	0.7293710792986972	0.7458581309313174	0.8470323307061284	0.18087502010616052	0.7085410969921184	0.7369309956570693	0.5576644683931157	0.6984880167283256	0.1028631172591282	0.707978124497346	0.6492681357567959	0.6041499115328937	0.1980054688756635	0.7087823709184494	0.1604471610101335	0.6542544635676372	0.7115972333923114	0.10583882901721087	0.42271191893196075	0.16414669454720926
M10	0.7136882740871803	0.0	0.42625060318481583	0.48311082515682807	0.3231462119993566	0.7323467910567798	0.557503619108895	0.6344700016084929	0.42608975390059517	0.5357085410969921	0.6276339070291137	0.666881132378961	0.33159079942094255	0.4873733311886762	0.49171626186263473	0.4184494129001126	0.6707415152002574	0.47008203313495256	0.5943381051954318	0.44217468232266366	0.6151680875020106	0.4575357889657391	0.6835290332958018	0.2517291298053724	0.4838346469358211	0.7870355476918127	0.6775776097796364	0.586376065626508
M11	0.4319607527746501	0.42625060318481583	0.0	0.548576483834647	0.32837381373652885	0.4907511661573106	0.3716422711918932	0.5842046002895287	0.5112594498954479	0.5127070934534341	0.6158919092810037	0.3155862956409844	0.36416277947563136	0.44595464050184974	0.25317677336335853	0.36384108090719	0.3684252855074795	0.402123210551713	0.47522921023001446	0.4147498793630368	0.25526781405822746	0.35531606884349365	0.46139617178703557	0.2823709184494129	0.4038121280360302	0.5110986006112272	0.3361750040212321	0.33778349686343895
M12	0.7246260254141869	0.48311082515682807	0.548576483834647	0.0	0.4918771111468554	0.7740871803120476	0.7795560559755509	0.24119350168891748	0.2153771915714975	0.7731220846067235	0.8349686343895769	0.5908798455846872	0.28454238378639213	0.20395689239182885	0.34646935821135594	0.3415634550426251	0.678623130127071	0.2612192375743928	0.22430432684574553	0.29507801190284705	0.5785748753418047	0.33199292263149427	0.8273282933890944	0.5212321055171304	0.20958661733955283	0.797410326524047	0.3930352259932443	0.615731059996783
M13	0.6871481421907673	0.3231462119993566	0.32837381373652885	0.4918771111468554	0.0	0.7292906546565868	0.35885475309634873	0.5978767894482869	0.5028952871159723	0.3088306257037156	0.4589030078816149	0.609136239343735	0.31944667846228086	0.41893196075277467	0.4239182885636159	0.3172752131253016	0.6425124658195271	0.3369792504423355	0.5353868425285507	0.4995978767894483	0.5554930030561364	0.3101174199774811	0.7198809715296767	0.2302557503619109	0.4157953997104713	0.7633102782692617	0.6285185780923275	0.5739906707415152
M14	0.08388290172108734	0.7323467910567798	0.4907511661573106	0.7740871803120476	0.7292906546565868	0.0	0.5934534341322181	0.7991796686504745	0.7444909120154415	0.7306578735724626	0.8736528872446517	0.21738780762425608	0.7232588064983111	0.7949975872607367	0.6076885957857487	0.7271191893196075	0.14669454720926492	0.7649187711114686	0.6836094579379122	0.6195914428180794	0.2559112111951102	0.7664468393115651	0.18465497828534663	0.6753257198005469	0.7637124014798135	0.10575840437510053	0.46220041820813895	0.18111629403249155
M15	0.6006916519221489	0.557503619108895	0.3716422711918932	0.7795560559755509	0.35885475309634873	0.5934534341322181	0.0	0.8159079942094257	0.710310439118546	0.24416921344700016	0.3256393759047772	0.6429145890300788	0.5621682483512949	0.6757278430110986	0.5004021232105517	0.5341000482547853	0.6460511500723822	0.6146855396493486	0.6862634711275535	0.6181437992600933	0.5913623934373492	0.5949815023323146	0.5246099404857648	0.4613157471449252	0.6390542062087824	0.6778188837059675	0.6702589673475953	0.5755187389416118
M16	0.7584043751005308	0.6344700016084929	0.5842046002895287	0.24119350168891748	0.5978767894482869	0.7991796686504745	0.8159079942094257	0.0	0.2383786392150555	0.8244330062731221	0.864082354833521	0.6043911854592247	0.35306417886440405	0.22052436866655944	0.3632781084124176	0.37043590156023803	0.6818401158114846	0.28397941129161974	0.1370435901560238	0.33159079942094255	0.5921666398584526	0.3686665594338105	0.8564420138330384	0.5658677818883706	0.2036351938233875	0.8056940646614122	0.39810197844619594	0.6485443139778028
M17	0.7293710792986972	0.42608975390059517	0.5112594498954479	0.2153771915714975	0.5028952871159723	0.7444909120154415	0.710310439118546	0.2383786392150555	0.0	0.6969599485282291	0.7723982628277304	0.5938555573427698	0.20202670098118064	0.16358372205243688	0.2891265883866817	0.2592086215216342	0.6806337461798295	0.21417082193984235	0.21674441048737333	0.16076885957857487	0.5649026861830465	0.2938716422711919	0.8168730899147498	0.3820974746662377	0.16133183207334728	0.8013511339874537	0.39424159562489947	0.5808267653208943
M18	0.7458581309313174	0.5357085410969921	0.5127070934534341	0.7731220846067235	0.3088306257037156	0.7306578735724626	0.24416921344700016	0.8244330062731221	0.6969599485282291	0.0	0.38933569245616856	0.7883223419655783	0.5348238700337784	0.6531285185780923	0.6045520347434454	0.5325719800546888	0.7912176290815506	0.5716583561203152	0.7123210551713045	0.6507962039568924	0.7375743927939521	0.5508283738137365	0.6720283094740228	0.39609136239343734	0.6475792182724787	0.8229853627151359	0.8017532571980055	0.7060479330866978
M19	0.8470323307061284	0.6276339070291137	0.6158919092810037	0.8349686343895769	0.4589030078816149	0.8736528872446517	0.3256393759047772	0.864082354833521	0.7723982628277304	0.38933569245616856	0.0	0.8829017210873411	0.6589995174521474	0.7187550265401319	0.7113559594659804	0.6242560720604793	0.8772719961396171	0.68545922470645	0.8478365771272318	0.8085089271352742	0.8243525816310118	0.664790091684092	0.7505227601737172	0.5934534341322181	0.7111951101817597	0.9216663985845263	0.90373170339392	0.846951906064018
M2	0.18087502010616052	0.666881132378961	0.3155862956409844	0.5908798455846872	0.609136239343735	0.21738780762425608	0.6429145890300788	0.6043911854592247	0.5938555573427698	0.7883223419655783	0.8829017210873411	0.0	0.5773685057101496	0.6013350490590317	0.41820813897378156	0.5694064661412257	0.11339874537558307	0.5860543670580666	0.5013672189158759	0.4716905259771594	0.08380247707897699	0.5729451503940808	0.292263149428985	0.5451986488660125	0.5749557664468393	0.2232588064983111	0.26435579861669617	0.10254141869068682
M20	0.7085410969921184	0.33159079942094255	0.36416277947563136	0.28454238378639213	0.31944667846228086	0.7232588064983111	0.5621682483512949	0.35306417886440405	0.20202670098118064	0.5348238700337784	0.6589995174521474	0.5773685057101496	0.0	0.21939842367701465	0.22036351938233875	0.12015441531285186	0.6605275856522439	0.18368988258002253	0.3075438314299501	0.205163262023484	0.5418208138973781	0.17428019945311243	0.7554286633424482	0.2618626347112755	0.20677175486569085	0.7810036995335371	0.4038121280360302	0.5689239182885636
M21	0.7369309956570693	0.4873733311886762	0.44595464050184974	0.20395689239182885	0.41893196075277467	0.7949975872607367	0.6757278430110986	0.22052436866655944	0.16358372205243688	0.6531285185780923	0.7187550265401319	0.6013350490590317	0.21939842367701465	0.0	0.24730577448930352	0.25647418368988256	0.6754865690847676	0.15505870998874055	0.20773685057101496	0.2877593694708059	0.5571014958983432	0.1978446195914428	0.7788322341965578	0.4020427859096027	0.10221972012224545	0.8130931317355637	0.4027666076885958	0.6409039729773203
M22	0.5576644683931157	0.49171626186263473	0.25317677336335853	0.34646935821135594	0.4239182885636159	0.6076885957857487	0.5004021232105517	0.3632781084124176	0.2891265883866817	0.6045520347434454	0.7113559594659804	0.41820813897378156	0.22036351938233875	0.24730577448930352	0.0	0.21787035547691813	0.4949332475470484	0.19615570210712563	0.2627473057744893	0.20757600128679426	0.3831429950136722	0.1865047450538845	0.6265883866816793	0.36191088949654177	0.1932604149911533	0.6268296606080103	0.23564420138330383	0.4517452147337944
M23	0.6984880167283256	0.4184494129001126	0.36384108090719	0.3415634550426251	0.3172752131253016	0.7271191893196075	0.5341000482547853	0.37043590156023803	0.2592086215216342	0.5325719800546888	0.6242560720604793	0.5694064661412257	0.12015441531285186	0.25647418368988256	0.21787035547691813	0.0	0.6464532732829339	0.19832716744410486	0.3201705002412739	0.2625864564902686	0.52581631011742	0.18240308830625704	0.7510053080263793	0.32877593694708057	0.21360784944506997	0.768779153932765	0.3907029113720444	0.5702911372044395
M24	0.1028631172591282	0.6707415152002574	0.3684252855074795	0.678623130127071	0.6425124658195271	0.14669454720926492	0.6460511500723822	0.6818401158114846	0.6806337461798295	0.7912176290815506	0.8772719961396171	0.11339874537558307	0.6605275856522439	0.6754865690847676	0.4949332475470484	0.6464532732829339	0.0	0.656828052115168	0.584285024931639	0.5545279073508123	0.13085089271352743	0.6453273282933891	0.19792504423355317	0.6072060479330867	0.6461315747144926	0.14806176612514074	0.35266205565385234	0.11999356602863118
