# Constructed from biom file
#OTU ID	M1	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M2	M20	M21	M22	M23	M24	M25	M26	M27	M28	M3	M4	M5	M6	M7	M8	M9
b97a9d3bff69e67f9d96f4d48451738c	20369.0	209.0	6686.0	199.0	743.0	27181.0	4994.0	328.0	128.0	1532.0	212.0	23286.0	439.0	107.0	4027.0	616.0	23808.0	279.0	2996.0	1784.0	17064.0	589.0	17260.0	1044.0	482.0	35592.0	13084.0	16590.0
1fc9d11dc36a475832a2ae5591975234	3435.0	3423.0	5735.0	14012.0	4470.0	3050.0	429.0	30917.0	12354.0	238.0	147.0	11335.0	9592.0	14801.0	10449.0	9501.0	7843.0	6778.0	19963.0	7478.0	8269.0	8120.0	462.0	3946.0	9473.0	5297.0	17747.0	6367.0
2490894b5a89232f84f8db6a7adca939	1439.0	1886.0	3541.0	1131.0	5009.0	1384.0	8262.0	1212.0	1365.0	5199.0	15075.0	1377.0	2985.0	1593.0	2489.0	3452.0	1108.0	1531.0	913.0	1105.0	1475.0	2124.0	2000.0	2078.0	1711.0	452.0	494.0	1393.0
f4dfc7659abf0b6985c452d9eac81310	1178.0	1730.0	2242.0	1284.0	3428.0	1180.0	3064.0	2230.0	2129.0	3083.0	3113.0	1187.0	1905.0	3398.0	2576.0	2002.0	1449.0	2397.0	1890.0	741.0	2193.0	3809.0	1265.0	2700.0	1750.0	925.0	987.0	1648.0
402a1ae8427840436a7e44d84ea141bb	354.0	2406.0	809.0	4905.0	1786.0	523.0	767.0	1159.0	312.0	827.0	196.0	511.0	1217.0	1158.0	572.0	253.0	386.0	414.0	828.0	309.0	302.0	592.0	486.0	623.0	571.0	221.0	249.0	302.0
09a37a4b894f48a148aadd76617af50f	579.0	3112.0	0.0	673.0	669.0	2145.0	1170.0	777.0	3104.0	1240.0	233.0	545.0	2035.0	146.0	125.0	944.0	127.0	274.0	850.0	2252.0	315.0	56.0	134.0	1946.0	155.0	870.0	681.0	1846.0
86b3d43ddd69e4345a56a009e0ab53c0	541.0	762.0	725.0	320.0	1314.0	533.0	2577.0	240.0	237.0	4461.0	3000.0	516.0	885.0	999.0	257.0	1164.0	617.0	275.0	482.0	290.0	678.0	547.0	1188.0	578.0	253.0	567.0	348.0	287.0
eee0469b11d76b50b05887618f69836c	157.0	1232.0	323.0	124.0	177.0	64.0	514.0	24.0	66.0	334.0	903.0	168.0	87.0	198.0	0.0	0.0	41.0	0.0	72.0	14.0	0.0	67.0	2081.0	595.0	0.0	24.0	0.0	60.0
f9d64cde0a3bb5ba0f0b08148e7e2e1e	67.0	0.0	0.0	130.0	82.0	0.0	23.0	39.0	74.0	68.0	937.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	10.0	0.0	0.0	62.0	0.0	0.0	11.0	0.0	76.0
e41c68958654c6575033a8143e3db18a	0.0	210.0	206.0	104.0	155.0	113.0	59.0	25.0	91.0	123.0	123.0	182.0	237.0	484.0	301.0	224.0	30.0	0.0	0.0	82.0	0.0	172.0	9.0	10.0	30.0	38.0	84.0	90.0
ca9bca8673f7ac2268bc530192553af8	161.0	120.0	155.0	31.0	120.0	91.0	94.0	29.0	43.0	328.0	135.0	0.0	27.0	77.0	147.0	120.0	61.0	113.0	0.0	28.0	94.0	86.0	73.0	132.0	52.0	34.0	407.0	29.0
2d8193171aae5b35524e5fd50100b3a7	73.0	478.0	631.0	45.0	439.0	188.0	567.0	151.0	58.0	283.0	1040.0	96.0	91.0	66.0	56.0	141.0	246.0	47.0	79.0	60.0	143.0	213.0	373.0	293.0	112.0	108.0	62.0	0.0
67320723e2dea11af0f92b8c6a6603f5	0.0	636.0	129.0	0.0	65.0	25.0	44.0	63.0	0.0	92.0	184.0	0.0	70.0	71.0	122.0	0.0	40.0	45.0	17.0	0.0	39.0	0.0	13.0	289.0	0.0	0.0	340.0	29.0
c5ce671b980bebb488a0624f61442b75	0.0	90.0	0.0	0.0	65.0	51.0	348.0	6.0	0.0	144.0	20.0	0.0	55.0	28.0	31.0	98.0	17.0	16.0	204.0	0.0	0.0	0.0	68.0	36.0	0.0	265.0	0.0	0.0
d850f89a25e10af880d6598784dbc403	48.0	41.0	67.0	42.0	62.0	23.0	39.0	29.0	12.0	0.0	0.0	26.0	50.0	47.0	29.0	34.0	37.0	45.0	43.0	46.0	76.0	39.0	15.0	42.0	54.0	42.0	59.0	22.0
f73f64a9ed0b3e8cc0541e6294c8cf87	274.0	0.0	42.0	0.0	0.0	181.0	28.0	0.0	0.0	0.0	0.0	233.0	0.0	0.0	71.0	4.0	91.0	0.0	25.0	21.0	69.0	0.0	52.0	0.0	2.0	134.0	252.0	171.0
d1664fa41e1d8b12a85d146534a78ec5	51.0	0.0	28.0	41.0	10.0	14.0	9.0	129.0	45.0	0.0	3.0	11.0	8.0	66.0	41.0	688.0	116.0	32.0	9.0	5.0	84.0	13.0	0.0	2.0	40.0	7.0	88.0	23.0
0b90ed596a30b1ace44303248a429ac1	164.0	2.0	19.0	0.0	0.0	140.0	23.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	67.0	0.0	112.0	0.0	10.0	3.0	41.0	0.0	31.0	0.0	4.0	102.0	54.0	89.0
aa0cfa7b8c303fa36315357751a7d270	0.0	0.0	7.0	48.0	0.0	0.0	0.0	141.0	43.0	0.0	0.0	11.0	0.0	87.0	54.0	198.0	59.0	40.0	0.0	12.0	35.0	0.0	0.0	0.0	52.0	0.0	61.0	3.0
88d5be329cdc318d9fefbc38ffc72975	0.0	0.0	16.0	166.0	35.0	0.0	0.0	157.0	48.0	0.0	0.0	0.0	29.0	50.0	47.0	28.0	18.0	30.0	91.0	17.0	54.0	73.0	0.0	10.0	92.0	0.0	104.0	11.0
af50234c70ba9ebed69a223798d11863	12.0	209.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	42.0	0.0	25.0	0.0	0.0	11.0	106.0	12.0	9.0	23.0	0.0	76.0	0.0	10.0	29.0	0.0	23.0	91.0	107.0
7c71c6ac114e6aa034e2815414dfdec5	0.0	0.0	0.0	0.0	12.0	0.0	59.0	21.0	80.0	75.0	154.0	0.0	0.0	0.0	25.0	0.0	31.0	37.0	0.0	6.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0
184e85a659ce9d6812018775736a3b43	19.0	47.0	23.0	4.0	23.0	27.0	66.0	0.0	53.0	0.0	0.0	42.0	10.0	23.0	29.0	28.0	0.0	2.0	7.0	20.0	16.0	24.0	0.0	0.0	54.0	0.0	27.0	20.0
ae1787a38bf96314f925845d653738d9	6.0	9.0	10.0	106.0	0.0	0.0	0.0	59.0	25.0	0.0	0.0	0.0	0.0	24.0	11.0	11.0	26.0	28.0	18.0	0.0	0.0	6.0	0.0	6.0	54.0	0.0	19.0	14.0
