	M1	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M2	M20	M21	M22	M23	M24	M25	M26	M27	M28	M3	M4	M5	M6	M7	M8	M9
M1	0.0	0.6341463414634146	0.55	0.6341463414634146	0.7058823529411765	0.4166666666666667	0.5476190476190477	0.6888888888888889	0.6511627906976745	0.7	0.6857142857142857	0.575	0.717391304347826	0.65	0.5227272727272727	0.6590909090909091	0.5957446808510638	0.6341463414634146	0.5263157894736842	0.625	0.5227272727272727	0.65	0.5641025641025641	0.6585365853658537	0.5675675675675675	0.4594594594594595	0.5238095238095238	0.37142857142857144
M10	0.6341463414634146	0.0	0.6190476190476191	0.6341463414634146	0.5652173913043478	0.5384615384615384	0.5476190476190477	0.627906976744186	0.6818181818181818	0.5142857142857142	0.5161290322580645	0.6097560975609756	0.48717948717948717	0.5405405405405406	0.5869565217391305	0.48717948717948717	0.625	0.6	0.6	0.68	0.7254901960784313	0.5405405405405406	0.5641025641025641	0.4722222222222222	0.5277777777777778	0.575	0.5909090909090909	0.6097560975609756
M11	0.55	0.6190476190476191	0.0	0.55	0.6923076923076923	0.525	0.6	0.5813953488372093	0.6046511627906976	0.7441860465116279	0.7027027027027027	0.5952380952380952	0.6444444444444445	0.5263157894736842	0.4772727272727273	0.6136363636363636	0.4888888888888889	0.6190476190476191	0.55	0.64	0.574468085106383	0.5641025641025641	0.6511627906976745	0.6097560975609756	0.5135135135135135	0.5952380952380952	0.5116279069767442	0.48717948717948717
M12	0.6341463414634146	0.6341463414634146	0.55	0.0	0.625	0.6428571428571429	0.6739130434782609	0.525	0.43243243243243246	0.6666666666666666	0.6470588235294118	0.6428571428571429	0.5952380952380952	0.5	0.6170212765957447	0.5609756097560976	0.5957446808510638	0.6	0.6	0.625	0.7	0.45714285714285713	0.6976744186046512	0.5897435897435898	0.5277777777777778	0.6744186046511628	0.6222222222222222	0.6097560975609756
M13	0.7058823529411765	0.5652173913043478	0.6923076923076923	0.625	0.0	0.6041666666666666	0.58	0.62	0.6122448979591837	0.5581395348837209	0.6	0.6862745098039216	0.5625	0.6086956521739131	0.6363636363636364	0.5918367346938775	0.5925925925925926	0.625	0.625	0.6896551724137931	0.7288135593220338	0.6382978723404256	0.5957446808510638	0.5555555555555556	0.6304347826086957	0.574468085106383	0.6666666666666666	0.6326530612244898
M14	0.4166666666666667	0.5384615384615384	0.525	0.6428571428571429	0.6041666666666666	0.0	0.41025641025641024	0.6666666666666666	0.6590909090909091	0.6052631578947368	0.6176470588235294	0.5128205128205128	0.5714285714285714	0.5897435897435898	0.5333333333333333	0.6046511627906976	0.5434782608695652	0.6428571428571429	0.5384615384615384	0.6326530612244898	0.5	0.6585365853658537	0.4594594594594595	0.6	0.5405405405405406	0.43243243243243246	0.4634146341463415	0.3888888888888889
M15	0.5476190476190477	0.5476190476190477	0.6	0.6739130434782609	0.58	0.41025641025641024	0.0	0.5777777777777777	0.6304347826086957	0.5384615384615384	0.5833333333333334	0.5581395348837209	0.6086956521739131	0.627906976744186	0.5714285714285714	0.6086956521739131	0.58	0.6444444444444445	0.5476190476190477	0.5510204081632653	0.6274509803921569	0.6888888888888889	0.475	0.6046511627906976	0.6190476190476191	0.45	0.6041666666666666	0.4878048780487805
M16	0.6888888888888889	0.627906976744186	0.5813953488372093	0.525	0.62	0.6666666666666666	0.5777777777777777	0.0	0.5121951219512195	0.5526315789473685	0.5588235294117647	0.6956521739130435	0.6222222222222222	0.4594594594594595	0.5833333333333334	0.6222222222222222	0.5625	0.5609756097560976	0.5952380952380952	0.62	0.6923076923076923	0.575	0.627906976744186	0.55	0.6341463414634146	0.6666666666666666	0.6170212765957447	0.6046511627906976
M17	0.6511627906976745	0.6818181818181818	0.6046511627906976	0.43243243243243246	0.6122448979591837	0.6590909090909091	0.6304347826086957	0.5121951219512195	0.0	0.6153846153846154	0.6285714285714286	0.6590909090909091	0.6136363636363636	0.4864864864864865	0.6326530612244898	0.6444444444444445	0.6122448979591837	0.5853658536585366	0.6190476190476191	0.5531914893617021	0.66	0.5641025641025641	0.6511627906976745	0.6428571428571429	0.5897435897435898	0.6888888888888889	0.6086956521739131	0.5609756097560976
M18	0.7	0.5142857142857142	0.7441860465116279	0.6666666666666666	0.5581395348837209	0.6052631578947368	0.5384615384615384	0.5526315789473685	0.6153846153846154	0.0	0.38461538461538464	0.675	0.5526315789473685	0.6111111111111112	0.6739130434782609	0.625	0.6808510638297872	0.631578947368421	0.6666666666666666	0.6521739130434783	0.7551020408163265	0.6842105263157895	0.5555555555555556	0.5833333333333334	0.7105263157894737	0.6052631578947368	0.6818181818181818	0.6410256410256411
M19	0.6857142857142857	0.5161290322580645	0.7027027027027027	0.6470588235294118	0.6	0.6176470588235294	0.5833333333333334	0.5588235294117647	0.6285714285714286	0.38461538461538464	0.0	0.6944444444444444	0.6	0.5333333333333333	0.6904761904761905	0.6756756756756757	0.6666666666666666	0.6470588235294118	0.6470588235294118	0.6666666666666666	0.7777777777777778	0.625	0.5161290322580645	0.59375	0.65625	0.5757575757575758	0.7	0.6571428571428571
M2	0.575	0.6097560975609756	0.5952380952380952	0.6428571428571429	0.6862745098039216	0.5128205128205128	0.5581395348837209	0.6956521739130435	0.6590909090909091	0.675	0.6944444444444444	0.0	0.723404255319149	0.625	0.625	0.6046511627906976	0.574468085106383	0.7045454545454546	0.5384615384615384	0.6041666666666666	0.625	0.6585365853658537	0.5	0.6976744186046512	0.6153846153846154	0.5128205128205128	0.5	0.5128205128205128
M20	0.717391304347826	0.48717948717948717	0.6444444444444445	0.5952380952380952	0.5625	0.5714285714285714	0.6086956521739131	0.6222222222222222	0.6136363636363636	0.5526315789473685	0.6	0.723404255319149	0.0	0.5384615384615384	0.64	0.5581395348837209	0.6730769230769231	0.627906976744186	0.6590909090909091	0.6730769230769231	0.7407407407407407	0.575	0.6888888888888889	0.55	0.6	0.6666666666666666	0.6458333333333334	0.6666666666666666
M21	0.65	0.5405405405405406	0.5263157894736842	0.5	0.6086956521739131	0.5897435897435898	0.627906976744186	0.4594594594594595	0.4864864864864865	0.6111111111111112	0.5333333333333333	0.625	0.5384615384615384	0.0	0.5681818181818182	0.5	0.5454545454545454	0.5405405405405406	0.5405405405405406	0.5777777777777777	0.6304347826086957	0.42424242424242425	0.6153846153846154	0.5277777777777778	0.5	0.625	0.46153846153846156	0.5897435897435898
M22	0.5227272727272727	0.5869565217391305	0.4772727272727273	0.6170212765957447	0.6363636363636364	0.5333333333333333	0.5714285714285714	0.5833333333333334	0.6326530612244898	0.6739130434782609	0.6904761904761905	0.625	0.64	0.5681818181818182	0.0	0.5217391304347826	0.4375	0.4883720930232558	0.5555555555555556	0.6607142857142857	0.5769230769230769	0.6304347826086957	0.6170212765957447	0.5777777777777777	0.4878048780487805	0.5957446808510638	0.48936170212765956	0.5
M23	0.6590909090909091	0.48717948717948717	0.6136363636363636	0.5609756097560976	0.5918367346938775	0.6046511627906976	0.6086956521739131	0.6222222222222222	0.6444444444444445	0.625	0.6756756756756757	0.6046511627906976	0.5581395348837209	0.5	0.5217391304347826	0.0	0.5918367346938775	0.525	0.627906976744186	0.62	0.6923076923076923	0.5	0.6590909090909091	0.5128205128205128	0.4	0.6046511627906976	0.4883720930232558	0.6363636363636364
M24	0.5957446808510638	0.625	0.4888888888888889	0.5957446808510638	0.5925925925925926	0.5434782608695652	0.58	0.5625	0.6122448979591837	0.6808510638297872	0.6666666666666666	0.574468085106383	0.6730769230769231	0.5454545454545454	0.4375	0.5918367346938775	0.0	0.5652173913043478	0.5333333333333333	0.6428571428571429	0.5294117647058824	0.6086956521739131	0.5	0.5869565217391305	0.5681818181818182	0.5111111111111111	0.46808510638297873	0.4772727272727273
