	shannon_entropy
M1	1.8032008332271996
M10	3.3000397333985525
M11	2.6821559415397536
M12	1.9753059911121094
M13	2.945784916941405
M14	1.6582683307178685
M15	2.8373975510128253
M16	1.2507413628531463
M17	2.000170661450175
M18	2.898489846309352
M19	2.1130498968397675
M2	1.7847298147875
M20	2.469779449591324
M21	2.037250520213299
M22	2.3904049854861817
M23	2.636035820060922
M24	1.6330172357956685
M25	2.159966008503054
M26	1.7375014876571937
M27	2.291364586991807
M28	1.9817815289386416
M3	2.3346259596134384
M4	1.8725534985477599
M5	3.0338553862729083
M6	1.963276161401655
M7	1.2395488886289265
M8	1.892753627450143
M9	2.0308679869535786
