	M1	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M2	M20	M21	M22	M23	M24	M26	M27	M28	M3	M4	M5	M6	M7	M8	M9
M1	0.0	0.625	0.5789473684210527	0.7047619047619048	0.638095238095238	0.4666666666666667	0.5368421052631579	0.7129629629629629	0.6565656565656566	0.6990291262135923	0.7340425531914894	0.5263157894736842	0.696078431372549	0.673469387755102	0.5454545454545454	0.6122448979591837	0.5784313725490197	0.5287356321839081	0.6476190476190476	0.5428571428571428	0.6947368421052632	0.6	0.6195652173913043	0.648936170212766	0.48863636363636365	0.5631067961165048	0.47191011235955055
M10	0.625	0.0	0.5730337078651685	0.5777777777777777	0.5164835164835165	0.5714285714285714	0.5604395604395604	0.5604395604395604	0.5955056179775281	0.5842696629213483	0.6125	0.5652173913043478	0.5465116279069767	0.5301204819277109	0.5531914893617021	0.47619047619047616	0.5876288659793815	0.6206896551724138	0.6041666666666666	0.6697247706422018	0.5128205128205128	0.6413043478260869	0.4936708860759494	0.5125	0.6263736263736264	0.6	0.6086956521739131
M11	0.5789473684210527	0.5730337078651685	0.0	0.5913978494623656	0.62	0.5056179775280899	0.6185567010309279	0.6041666666666666	0.5617977528089888	0.71	0.7333333333333333	0.5483870967741935	0.5617977528089888	0.5294117647058824	0.5368421052631579	0.47674418604651164	0.5263157894736842	0.5357142857142857	0.5268817204301075	0.6296296296296297	0.5487804878048781	0.6526315789473685	0.6136363636363636	0.4358974358974359	0.5617977528089888	0.5257731958762887	0.5280898876404494
M12	0.7047619047619048	0.5777777777777777	0.5913978494623656	0.0	0.5670103092783505	0.6464646464646465	0.6764705882352942	0.5	0.5	0.7	0.6931818181818182	0.6534653465346535	0.5978260869565217	0.425	0.6138613861386139	0.5333333333333333	0.6176470588235294	0.5747126436781609	0.5918367346938775	0.6696428571428571	0.5185185185185185	0.71	0.5862068965517241	0.4625	0.6701030927835051	0.6019417475728155	0.6666666666666666
M13	0.638095238095238	0.5164835164835165	0.62	0.5670103092783505	0.0	0.6039603960396039	0.58	0.58	0.5531914893617021	0.5425531914893617	0.6136363636363636	0.638095238095238	0.5054945054945055	0.5851063829787234	0.6	0.5368421052631579	0.616822429906542	0.6210526315789474	0.5643564356435643	0.6779661016949152	0.5730337078651685	0.6122448979591837	0.4883720930232558	0.5555555555555556	0.6262626262626263	0.6272727272727273	0.6504854368932039
M14	0.4666666666666667	0.5714285714285714	0.5056179775280899	0.6464646464646465	0.6039603960396039	0.0	0.4606741573033708	0.6568627450980392	0.6063829787234043	0.625	0.7	0.4318181818181818	0.5444444444444444	0.5934065934065934	0.5052631578947369	0.5274725274725275	0.5408163265306123	0.5681818181818182	0.5263157894736842	0.5619047619047619	0.6136363636363636	0.5604395604395604	0.5955056179775281	0.5294117647058824	0.44047619047619047	0.4631578947368421	0.40476190476190477
M15	0.5368421052631579	0.5604395604395604	0.6185567010309279	0.6764705882352942	0.58	0.4606741573033708	0.0	0.6336633663366337	0.6391752577319587	0.5222222222222223	0.611764705882353	0.5212765957446809	0.5652173913043478	0.6129032258064516	0.5408163265306123	0.5638297872340425	0.56	0.5888888888888889	0.5612244897959183	0.6306306306306306	0.6333333333333333	0.5168539325842697	0.5842696629213483	0.6304347826086957	0.5168539325842697	0.5728155339805825	0.5164835164835165
M16	0.7129629629629629	0.5604395604395604	0.6041666666666666	0.5	0.58	0.6568627450980392	0.6336633663366337	0.0	0.5	0.6565656565656566	0.627906976744186	0.6504854368932039	0.5494505494505495	0.4823529411764706	0.6116504854368932	0.5164835164835165	0.6019417475728155	0.5730337078651685	0.5757575757575758	0.6428571428571429	0.5529411764705883	0.68	0.5517241379310345	0.5348837209302325	0.6666666666666666	0.6132075471698113	0.65
M17	0.6565656565656566	0.5955056179775281	0.5617977528089888	0.5	0.5531914893617021	0.6063829787234043	0.6391752577319587	0.5	0.0	0.7040816326530612	0.6506024096385542	0.6145833333333334	0.5348837209302325	0.48148148148148145	0.5876288659793815	0.5340909090909091	0.5918367346938775	0.5930232558139535	0.5164835164835165	0.6481481481481481	0.5555555555555556	0.6736842105263158	0.5882352941176471	0.5	0.6451612903225806	0.59	0.6276595744680851
M18	0.6990291262135923	0.5842696629213483	0.71	0.7	0.5425531914893617	0.625	0.5222222222222223	0.6565656565656566	0.7040816326530612	0.0	0.47297297297297297	0.6464646464646465	0.5730337078651685	0.6373626373626373	0.6730769230769231	0.6021505376344086	0.6634615384615384	0.6739130434782609	0.64	0.6636363636363637	0.6590909090909091	0.5730337078651685	0.5421686746987951	0.6703296703296703	0.6043956043956044	0.6476190476190476	0.673469387755102
